query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms,ef_search,controller_action,recent_window_p99_ms
1,0.0,0.0,0.0,13.2413,100,none,
2,0.0173,0.026,0.0,3.8439,100,none,13.1473
3,0.0215,0.032,0.0,3.5919,100,none,13.0534
4,0.0251,0.038,0.0,3.6388,100,none,12.9594
5,0.0288,0.043,0.038,3.5847,90,ef_down:100->90,12.8654
6,0.043,0.064,0.038,13.1546,90,none,13.237
7,0.0562,0.084,0.064,3.8834,90,none,13.2361
8,0.0602,0.09,0.064,3.736,90,none,13.2352
9,0.064,0.096,0.064,4.5273,90,none,13.2344
10,0.0687,0.103,0.064,3.5067,90,none,13.2335
11,0.0723,0.108,0.064,3.4577,90,none,13.2326
12,0.0759,0.114,0.064,3.3392,90,none,13.2318
13,0.0793,0.119,0.064,3.6612,90,none,13.2309
14,0.0831,0.125,0.064,3.5274,90,none,13.23
15,0.0867,0.13,0.119,3.4951,90,none,13.2292
16,0.0903,0.135,0.119,3.3171,90,none,13.2283
17,0.0937,0.141,0.119,3.7524,90,none,13.2274
18,0.0976,0.146,0.119,3.5187,90,none,13.2266
19,0.1012,0.152,0.119,3.6668,90,none,13.2257
20,0.1049,0.157,0.119,3.4415,90,none,13.2248
21,0.1085,0.163,0.119,3.6228,90,none,13.224
22,0.1122,0.168,0.119,4.1058,90,none,13.2231
23,0.1164,0.175,0.119,3.6921,90,none,13.2222
24,0.1202,0.18,0.163,3.599,90,none,13.2214
25,0.1239,0.186,0.163,3.6683,90,none,13.2205
26,0.1277,0.191,0.163,3.3503,90,none,13.2196
27,0.1311,0.197,0.163,3.4379,90,none,13.2188
28,0.1346,0.202,0.163,3.1931,90,none,13.2179
29,0.1379,0.207,0.163,3.5566,90,none,13.217
30,0.1416,0.212,0.163,3.6672,80,ef_down:90->80,13.2162
31,0.1523,0.228,0.212,3.3066,80,none,13.2153
32,0.1557,0.234,0.212,3.4206,80,none,13.2144
33,0.1593,0.239,0.212,3.5892,80,none,13.2135
34,0.163,0.244,0.212,3.997,80,none,13.2127
35,0.1671,0.251,0.212,3.926,80,none,13.2118
36,0.1711,0.257,0.212,3.8149,80,none,13.2109
37,0.1751,0.263,0.212,3.7732,80,none,13.2101
38,0.1789,0.268,0.257,3.4727,80,none,13.2092
39,0.1825,0.274,0.257,3.4743,80,none,13.2083
40,0.1861,0.279,0.257,3.417,80,none,13.2075
41,0.1896,0.284,0.257,3.5221,80,none,13.2066
42,0.1933,0.29,0.257,3.4147,80,none,13.2057
43,0.1968,0.295,0.257,3.308,80,none,13.2049
44,0.2002,0.3,0.257,3.5971,80,none,13.204
45,0.2039,0.306,0.257,4.0365,80,none,13.2031
46,0.2081,0.312,0.3,9.0149,80,none,13.2023
47,0.2172,0.326,0.3,4.0107,80,none,13.2014
48,0.2213,0.332,0.3,3.965,80,none,13.2005
49,0.2254,0.338,0.3,3.6885,80,none,13.1997
50,0.2292,0.344,0.3,3.6886,80,none,13.1988
51,0.2331,0.35,0.3,3.5989,80,none,11.1261
52,0.2368,0.355,0.344,3.7185,80,none,11.1261
53,0.2406,0.361,0.344,3.6918,80,none,11.1261
54,0.2444,0.367,0.344,4.4306,80,none,11.1261
55,0.249,0.373,0.344,3.6172,70,ef_down:80->70,11.1261
56,0.2579,0.387,0.344,3.442,70,none,6.816
57,0.2614,0.392,0.344,3.4992,70,none,6.816
58,0.265,0.397,0.344,3.9183,70,none,6.816
59,0.269,0.404,0.392,3.2885,70,none,6.7686
60,0.2724,0.409,0.392,3.8793,70,none,6.7686
61,0.2764,0.415,0.392,4.238,70,none,6.7686
62,0.2807,0.421,0.392,3.719,70,none,6.7686
63,0.2846,0.427,0.392,3.7038,70,none,6.7686
64,0.2884,0.433,0.392,3.3511,70,none,6.7686
65,0.2918,0.438,0.392,3.7908,70,none,6.7686
66,0.2958,0.444,0.433,3.4876,70,none,6.7686
67,0.2994,0.449,0.433,3.5689,70,none,6.7686
68,0.303,0.455,0.433,3.4979,70,none,6.7686
69,0.3066,0.46,0.433,3.615,70,none,6.7686
70,0.3103,0.466,0.433,3.3912,70,none,6.7686
71,0.3138,0.471,0.433,3.2533,70,none,6.7686
72,0.3172,0.476,0.433,3.7323,70,none,6.7686
73,0.321,0.482,0.433,3.3709,70,none,6.7686
74,0.3245,0.487,0.476,4.2227,70,none,6.7686
75,0.3288,0.493,0.476,3.6975,70,none,6.7686
76,0.3326,0.499,0.476,3.8987,70,none,6.7686
77,0.3366,0.505,0.476,3.6109,70,none,6.7686
78,0.3404,0.511,0.476,3.7813,70,none,6.7686
79,0.3443,0.516,0.476,3.8626,70,none,6.7686
80,0.3483,0.522,0.476,3.4586,60,ef_down:70->60,6.7686
81,0.3573,0.536,0.516,3.446,60,none,6.7686
82,0.3609,0.541,0.516,3.4273,60,none,6.7686
