query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms
1,0.0,0.0,0.0,8.2874
2,0.0085,0.01,0.0,3.9773
3,0.0125,0.015,0.0,2.8246
4,0.0153,0.018,0.0,2.3564
5,0.0177,0.021,0.0,2.107
6,0.0199,0.024,0.0,2.2582
7,0.0222,0.026,0.0,2.0378
8,0.0242,0.029,0.0,5.1174
9,0.0294,0.035,0.029,2.4641
10,0.0319,0.038,0.029,2.2164
11,0.0342,0.041,0.029,1.9173
12,0.0361,0.043,0.029,1.8786
13,0.038,0.045,0.029,1.8576
14,0.0399,0.047,0.029,1.8443
15,0.0418,0.05,0.029,1.8977
16,0.0437,0.052,0.029,1.8522
17,0.0456,0.054,0.029,1.9648
18,0.0476,0.057,0.029,1.9144
19,0.0496,0.059,0.029,1.9515
20,0.0515,0.061,0.029,1.8065
21,0.0534,0.063,0.029,5.1154
22,0.0585,0.07,0.029,2.4897
23,0.0611,0.073,0.063,1.9088
24,0.063,0.075,0.063,1.8657
25,0.0649,0.077,0.063,1.7692
26,0.0668,0.079,0.063,1.8555
27,0.0686,0.082,0.063,2.0004
28,0.0707,0.084,0.063,1.9054
29,0.0726,0.086,0.063,1.876
30,0.0745,0.089,0.063,1.826
31,0.0764,0.091,0.063,1.8158
32,0.0782,0.093,0.063,1.7552
33,0.08,0.095,0.063,1.9629
34,0.082,0.097,0.063,1.7409
35,0.0838,0.1,0.063,1.76
36,0.0856,0.102,0.063,6.0829
37,0.0917,0.109,0.102,2.1403
38,0.0939,0.112,0.102,1.894
39,0.0958,0.114,0.102,1.8478
40,0.0977,0.116,0.102,2.0029
41,0.0998,0.118,0.102,1.9677
42,0.1018,0.121,0.102,1.7321
43,0.1035,0.123,0.102,1.8274
44,0.1054,0.125,0.102,1.7485
45,0.1072,0.127,0.102,1.723
46,0.1089,0.129,0.102,1.9716
47,0.1109,0.132,0.102,1.8585
48,0.1128,0.134,0.102,1.7976
49,0.1147,0.136,0.102,4.851
