query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms
1,0.0,0.0,0.0,7.8792
2,0.0081,0.01,0.0,4.1051
3,0.0123,0.015,0.0,2.8319
4,0.0151,0.018,0.0,2.2479
5,0.0174,0.021,0.0,2.0768
6,0.0195,0.023,0.0,1.938
7,0.0215,0.026,0.0,1.8169
8,0.0233,0.028,0.0,1.7667
9,0.0251,0.03,0.0,2.311
10,0.0275,0.033,0.0,2.2465
11,0.0298,0.035,0.03,1.9244
12,0.0317,0.038,0.03,1.7803
13,0.0335,0.04,0.03,1.8531
14,0.0354,0.042,0.03,1.7309
15,0.0372,0.044,0.03,1.8402
16,0.039,0.046,0.03,1.7156
17,0.0408,0.048,0.03,2.2278
18,0.0431,0.051,0.03,1.9449
19,0.045,0.053,0.03,1.9794
20,0.047,0.056,0.03,1.6154
21,0.0487,0.058,0.03,1.8181
22,0.0505,0.06,0.03,1.6072
23,0.0522,0.062,0.03,1.5976
24,0.0538,0.064,0.03,1.824
25,0.0557,0.066,0.03,2.1044
26,0.0578,0.069,0.062,1.7282
27,0.0596,0.071,0.062,1.8683
28,0.0615,0.073,0.062,1.7077
29,0.0632,0.075,0.062,1.762
30,0.065,0.077,0.062,1.654
31,0.0667,0.079,0.062,1.6719
32,0.0684,0.081,0.062,1.5867
33,0.07,0.083,0.062,1.8507
34,0.0719,0.085,0.062,1.6251
35,0.0736,0.087,0.062,1.6184
36,0.0752,0.089,0.062,1.61
37,0.0768,0.091,0.062,1.7189
38,0.0786,0.093,0.062,1.6062
39,0.0802,0.095,0.062,1.6156
40,0.0819,0.097,0.062,2.046
41,0.0839,0.1,0.062,2.5326
42,0.0865,0.103,0.097,1.709
43,0.0883,0.105,0.097,1.786
44,0.0901,0.107,0.097,1.6243
45,0.0917,0.109,0.097,1.6241
46,0.0934,0.111,0.097,1.7593
47,0.0952,0.113,0.097,1.6173
48,0.0968,0.115,0.097,1.8841
49,0.0988,0.117,0.097,1.9107
50,0.1007,0.12,0.097,1.7395
51,0.1025,0.122,0.097,1.689
52,0.1042,0.124,0.097,1.5025
53,0.1058,0.126,0.097,1.5597
54,0.1074,0.128,0.097,1.6086
55,0.109,0.129,0.097,1.5499
56,0.1106,0.131,0.097,1.7305
57,0.1123,0.133,0.097,2.3636
58,0.1147,0.136,0.131,1.7066
59,0.1165,0.138,0.131,1.6218
60,0.1181,0.14,0.131,1.7224
61,0.1199,0.142,0.131,1.6748
62,0.1216,0.144,0.131,1.5808
63,0.1232,0.146,0.131,1.5406
64,0.1248,0.148,0.131,1.5361
65,0.1263,0.15,0.131,1.9229
66,0.1283,0.152,0.131,1.8156
67,0.1301,0.155,0.131,1.7521
