query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms
1,0.0,0.0,0.0,10.0809
2,0.0103,0.025,0.0,5.4441
3,0.0158,0.038,0.0,4.7196
4,0.0206,0.049,0.0,3.5852
5,0.0242,0.058,0.0,3.5162
6,0.0278,0.066,0.0,3.6632
7,0.0315,0.075,0.05,3.3827
8,0.0349,0.083,0.058,3.5091
9,0.0384,0.091,0.058,3.1163
10,0.0416,0.099,0.058,2.733
11,0.0444,0.105,0.058,2.5127
12,0.0469,0.111,0.058,2.3454
13,0.0493,0.117,0.058,2.3641
14,0.0517,0.123,0.058,2.4863
15,0.0542,0.129,0.058,2.7684
16,0.057,0.135,0.058,2.5435
17,0.0596,0.141,0.058,2.6549
18,0.0622,0.148,0.058,2.3837
19,0.0647,0.154,0.058,2.564
20,0.0672,0.16,0.058,3.4896
21,0.0708,0.168,0.058,2.5867
22,0.0734,0.174,0.107,3.0274
23,0.0764,0.182,0.107,2.8664
24,0.0793,0.188,0.154,3.1292
25,0.0825,0.196,0.154,2.894
26,0.0854,0.203,0.154,3.1972
27,0.0886,0.211,0.154,3.3582
28,0.092,0.219,0.154,2.7663
29,0.0948,0.225,0.154,3.3433
30,0.0982,0.233,0.154,2.7603
31,0.101,0.24,0.154,2.708
32,0.1037,0.246,0.154,2.4767
33,0.1062,0.252,0.154,2.5592
34,0.1088,0.258,0.154,2.2818
35,0.1111,0.264,0.154,2.3756
36,0.1136,0.27,0.154,2.3361
37,0.1159,0.275,0.154,2.7985
38,0.1187,0.282,0.154,2.3709
39,0.1211,0.288,0.154,2.3654
40,0.1235,0.293,0.154,2.7057
41,0.1263,0.3,0.154,3.3681
42,0.1297,0.308,0.154,3.0752
43,0.1328,0.315,0.203,3.3397
44,0.1362,0.323,0.253,2.924
45,0.1391,0.33,0.253,2.7492
46,0.1419,0.337,0.293,3.5876
47,0.1455,0.346,0.293,3.1639
48,0.1487,0.353,0.293,2.7806
49,0.1515,0.36,0.293,3.2578
50,0.1548,0.368,0.293,2.5658
51,0.1575,0.374,0.293,2.9652
52,0.1605,0.381,0.293,2.5596
53,0.1631,0.387,0.293,3.3117
54,0.1664,0.395,0.293,3.4592
55,0.1699,0.404,0.293,3.2418
56,0.1732,0.411,0.293,3.1023
57,0.1763,0.419,0.293,3.3514
58,0.1797,0.427,0.293,3.2571
59,0.183,0.435,0.293,2.4481
60,0.1855,0.441,0.293,2.381
61,0.1879,0.446,0.293,2.3086
62,0.1903,0.452,0.293,2.231
63,0.1925,0.457,0.293,2.1456
64,0.1947,0.462,0.293,2.1277
65,0.1969,0.468,0.293,2.2677
66,0.1992,0.473,0.293,2.187
67,0.2014,0.478,0.293,2.1646
68,0.2036,0.483,0.293,2.2004
