query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms,ef_search,controller_action,recent_window_p99_ms
1,0.0,0.0,0.0,10.814,100,none,
2,0.011,0.026,0.0,5.7632,100,none,10.7635
3,0.0169,0.04,0.0,4.5124,100,none,10.713
4,0.0215,0.051,0.0,3.4843,100,none,10.6625
5,0.025,0.059,0.0,3.29,100,none,10.612
6,0.0283,0.067,0.0,3.2166,100,none,10.5615
7,0.0316,0.075,0.05,3.2613,100,none,10.511
8,0.0348,0.083,0.059,3.4502,100,none,10.4605
9,0.0383,0.091,0.059,3.0011,100,none,10.4099
10,0.0414,0.098,0.059,2.5503,90,ef_down:100->90,10.3594
11,0.0457,0.109,0.059,2.6698,90,none,10.3089
12,0.0484,0.115,0.059,2.3198,90,none,10.2584
13,0.0508,0.121,0.059,2.4778,90,none,10.2079
14,0.0533,0.127,0.059,2.2151,90,none,10.1574
15,0.0555,0.132,0.059,2.474,90,none,10.1069
16,0.058,0.138,0.059,2.2232,90,none,10.0564
17,0.0603,0.143,0.059,2.4539,90,none,10.0059
18,0.0628,0.149,0.059,2.2494,90,none,9.9554
19,0.065,0.154,0.059,2.7778,90,none,9.9049
20,0.0679,0.161,0.059,2.7702,90,none,9.8544
21,0.0707,0.168,0.059,2.3991,90,none,9.8038
22,0.0731,0.174,0.109,2.7801,90,none,9.7533
23,0.0759,0.18,0.109,2.3538,90,none,9.7028
24,0.0783,0.186,0.154,2.7677,90,none,9.6523
25,0.0811,0.193,0.154,2.9305,90,none,9.6018
26,0.084,0.2,0.154,3.0595,90,none,9.5513
27,0.0871,0.207,0.154,3.3555,90,none,9.5008
28,0.0905,0.215,0.154,2.7557,90,none,9.4503
29,0.0933,0.222,0.154,3.064,90,none,9.3998
30,0.0964,0.229,0.154,2.6617,90,none,9.3493
31,0.0991,0.235,0.154,2.3001,90,none,9.2988
32,0.1015,0.241,0.154,2.1853,90,none,9.2483
33,0.1037,0.246,0.154,2.3424,90,none,9.1978
34,0.1061,0.252,0.154,2.1709,90,none,9.1472
35,0.1083,0.257,0.154,2.1598,80,ef_down:90->80,9.0967
36,0.1119,0.266,0.154,2.3598,80,none,9.0462
37,0.1142,0.271,0.154,2.2917,80,none,8.9957
38,0.1166,0.277,0.154,2.2163,80,none,8.9452
39,0.1188,0.282,0.154,2.1508,80,none,8.8947
40,0.121,0.287,0.154,2.3271,80,none,8.8442
41,0.1234,0.293,0.154,3.1248,80,none,8.7937
42,0.1265,0.301,0.154,3.1397,80,none,8.7432
43,0.1298,0.308,0.204,3.7796,80,none,8.6927
44,0.1337,0.317,0.204,3.2129,80,none,8.6422
45,0.137,0.325,0.254,3.152,80,none,8.5917
46,0.1402,0.333,0.293,4.0902,80,none,8.5412
47,0.1444,0.343,0.293,3.0822,80,none,8.4906
48,0.1475,0.35,0.293,3.2419,80,none,8.4401
49,0.1508,0.358,0.293,3.6371,80,none,8.3896
50,0.1545,0.367,0.293,3.0089,80,none,8.3391
51,0.1576,0.374,0.293,3.2653,80,none,5.1503
52,0.161,0.382,0.293,2.6288,80,none,4.3055
53,0.1636,0.389,0.293,3.1114,80,none,3.938
54,0.1668,0.396,0.293,2.9635,80,none,3.938
55,0.1698,0.403,0.293,3.0634,80,none,3.938
56,0.1729,0.411,0.293,2.9966,80,none,3.938
57,0.176,0.418,0.293,3.3369,80,none,3.938
58,0.1793,0.426,0.293,2.869,80,none,3.938
59,0.1823,0.433,0.293,2.4475,80,none,3.938
60,0.1848,0.439,0.293,2.4869,70,ef_down:80->70,3.938
61,0.1887,0.448,0.293,2.6512,70,none,3.938
62,0.1914,0.455,0.293,2.4646,70,none,3.938
63,0.1939,0.461,0.293,2.3024,70,none,3.938
64,0.1963,0.466,0.293,2.2055,70,none,3.938
65,0.1985,0.471,0.293,2.3468,70,none,3.938
66,0.2009,0.477,0.293,2.2521,70,none,3.938
67,0.2032,0.483,0.293,2.2591,70,none,3.938
68,0.2055,0.488,0.293,2.3314,70,none,3.938
69,0.2078,0.494,0.293,3.8908,70,none,3.9925
70,0.2118,0.503,0.293,3.7385,70,none,3.9925
71,0.2156,0.512,0.343,3.3255,70,none,3.9925
72,0.2191,0.52,0.392,3.6107,70,none,3.9925
73,0.2228,0.529,0.392,4.2457,70,none,4.1695
74,0.2271,0.539,0.442,3.3145,70,none,4.1695
75,0.2305,0.547,0.488,3.6683,70,none,4.1695
76,0.2342,0.556,0.488,3.1521,70,none,4.1695
77,0.2375,0.564,0.488,3.578,70,none,4.1695
78,0.2411,0.573,0.488,3.0617,70,none,4.1695
79,0.2442,0.58,0.488,3.0044,70,none,4.1695
80,0.2473,0.587,0.488,3.0674,70,none,4.1695
81,0.2504,0.595,0.488,2.9853,70,none,4.1695
82,0.2534,0.602,0.488,3.1034,70,none,4.1695
83,0.2566,0.609,0.488,2.7333,70,none,4.1695
84,0.2593,0.616,0.488,3.3075,70,none,4.1695
85,0.2627,0.624,0.488,2.6135,60,ef_down:70->60,4.1695
86,0.2669,0.634,0.488,2.9918,60,none,4.1695
87,0.2699,0.641,0.488,3.1289,60,none,4.1695
88,0.2731,0.649,0.488,2.9344,60,none,4.1695
89,0.276,0.656,0.488,2.7219,60,none,4.1695
90,0.2788,0.662,0.488,2.8607,60,none,4.1695
91,0.2817,0.669,0.488,2.8107,60,none,4.1695
92,0.2846,0.676,0.488,3.0365,60,none,4.1695
93,0.2876,0.683,0.488,2.9964,60,none,4.1695
94,0.2907,0.69,0.488,3.1126,60,none,4.1695
95,0.2938,0.698,0.488,3.1729,60,none,4.1695
96,0.297,0.705,0.488,2.5354,60,none,4.0718
97,0.2996,0.712,0.488,2.5142,60,none,4.0718
98,0.3022,0.718,0.488,2.3271,60,none,4.0718
99,0.3045,0.723,0.488,2.3404,60,none,4.0718
100,0.3069,0.729,0.488,2.4636,60,none,4.0718
101,0.3094,0.735,0.488,2.2848,60,none,4.0718
102,0.3117,0.74,0.488,2.336,60,none,4.0718
103,0.3141,0.746,0.488,2.323,60,none,4.0718
104,0.3165,0.752,0.488,2.2223,60,none,4.0718
105,0.3187,0.757,0.488,2.2899,60,none,4.0718
106,0.3211,0.763,0.488,2.3654,60,none,4.0718
107,0.3235,0.768,0.488,3.4288,60,none,4.0718
108,0.327,0.777,0.488,3.5399,60,none,4.0718
109,0.3306,0.785,0.538,3.5628,60,none,4.0718
110,0.3343,0.794,0.587,3.7342,50,ef_down:60->50,4.0718
111,0.3396,0.807,0.637,4.0119,50,none,4.1312
112,0.3438,0.816,0.687,3.9276,50,none,4.1312
113,0.3478,0.826,0.687,3.658,50,none,4.1312
114,0.3516,0.835,0.737,3.522,50,none,4.1312
115,0.3552,0.844,0.763,3.7302,50,none,4.1312
116,0.359,0.853,0.763,3.125,50,none,4.1312
117,0.3622,0.86,0.763,3.6252,50,none,4.1312
118,0.3659,0.869,0.763,3.0402,50,none,4.1312
119,0.369,0.876,0.763,3.2145,50,none,4.1312
120,0.3723,0.884,0.763,2.9121,50,none,4.1312
121,0.3752,0.891,0.763,3.4483,50,none,4.1312
122,0.3788,0.9,0.763,2.7642,50,none,4.1312
123,0.3816,0.906,0.763,3.1255,50,none,3.9706
124,0.3847,0.914,0.763,2.63,50,none,3.9706
125,0.3874,0.92,0.763,2.8577,50,none,3.9706
126,0.3903,0.927,0.763,2.5541,50,none,3.9706
127,0.3929,0.933,0.763,2.8775,50,none,3.9706
128,0.3959,0.94,0.763,2.4541,50,none,3.9706
129,0.3984,0.946,0.763,2.9177,50,none,3.9706
130,0.4013,0.953,0.763,2.7679,50,none,3.9706
131,0.4041,0.96,0.763,2.6307,50,none,3.9706
132,0.4068,0.966,0.763,2.7982,50,none,3.9706
133,0.4096,0.973,0.763,2.3595,50,none,3.9706
134,0.412,0.979,0.763,2.8191,50,none,3.9706
135,0.4149,0.985,0.763,2.7302,40,ef_down:50->40,3.9706
136,0.4191,0.995,0.763,3.0784,40,none,3.9706
137,0.4223,1.003,0.763,2.2235,40,none,3.9706
138,0.4245,1.008,0.763,2.6418,40,none,3.9706
139,0.4272,1.015,0.763,2.507,40,none,3.9706
140,0.4297,1.021,0.763,2.5576,40,none,3.9706
