query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms,ef_search,controller_action,recent_window_p99_ms
1,0.0,0.0,0.0,7.2916,100,none,
2,0.0077,0.008,0.0,1.713,100,none,7.2358
3,0.0095,0.009,0.0,1.3754,100,none,7.1801
4,0.0109,0.011,0.0,1.2927,100,none,7.1243
5,0.0122,0.012,0.0,1.3633,100,none,7.0685
6,0.0136,0.014,0.0,1.1974,100,none,7.0127
7,0.0149,0.015,0.0,1.3374,100,none,6.9569
8,0.0162,0.016,0.0,1.2891,100,none,6.9011
9,0.0176,0.018,0.0,1.2744,100,none,6.8453
10,0.0189,0.019,0.0,1.1544,90,ef_down:100->90,6.7896
11,0.0216,0.022,0.0,2.0622,90,none,6.7687
12,0.0236,0.024,0.0,1.009,90,none,6.7164
13,0.0247,0.025,0.0,1.0191,90,none,6.6641
14,0.0257,0.026,0.0,1.0058,90,none,6.6118
15,0.0268,0.027,0.0,1.3036,90,none,6.5595
16,0.0281,0.028,0.0,1.0795,90,none,6.5072
17,0.0292,0.029,0.026,1.2958,90,none,6.4549
18,0.0306,0.031,0.026,1.1518,90,none,6.4026
19,0.0318,0.032,0.026,1.0874,90,none,6.3503
20,0.0329,0.033,0.026,1.3082,90,none,6.298
21,0.0342,0.034,0.026,0.9831,90,none,6.2458
22,0.0352,0.035,0.026,1.0709,90,none,6.1935
23,0.0363,0.036,0.026,1.0735,90,none,6.1412
24,0.0374,0.037,0.026,1.1016,90,none,6.0889
25,0.0386,0.039,0.026,1.0061,90,none,6.0366
26,0.0396,0.04,0.026,1.0043,90,none,5.9843
27,0.0406,0.041,0.026,0.9764,90,none,5.932
28,0.0417,0.042,0.026,0.974,90,none,5.8797
29,0.0427,0.043,0.026,0.9566,90,none,5.8274
30,0.0436,0.044,0.026,1.0417,90,none,5.7751
31,0.0447,0.045,0.026,0.9912,90,none,5.7228
32,0.0457,0.046,0.026,0.9205,90,none,5.6705
33,0.0467,0.047,0.026,0.9978,90,none,5.6182
34,0.0477,0.048,0.026,0.9724,90,none,5.5659
35,0.0487,0.049,0.026,0.9953,80,ef_down:90->80,5.5136
36,0.0511,0.051,0.026,1.0535,80,none,5.4613
37,0.0522,0.052,0.026,0.9542,80,none,5.409
38,0.0531,0.053,0.026,0.9806,80,none,5.3568
39,0.0542,0.054,0.026,0.9559,80,none,5.3045
40,0.0551,0.055,0.026,0.9583,80,none,5.2522
41,0.0561,0.056,0.026,0.9929,80,none,5.1999
42,0.0572,0.057,0.026,1.1947,80,none,5.1476
43,0.0584,0.058,0.026,1.063,80,none,5.0953
44,0.0595,0.06,0.055,1.2159,80,none,5.043
45,0.0608,0.061,0.055,1.0549,80,none,4.9907
46,0.0618,0.062,0.055,0.9792,80,none,4.9384
47,0.0629,0.063,0.055,1.0057,80,none,4.8861
48,0.0639,0.064,0.055,0.9921,80,none,4.8338
49,0.0649,0.065,0.055,0.9486,80,none,4.7815
50,0.0659,0.066,0.055,0.9432,80,none,4.7292
51,0.0669,0.067,0.055,0.9134,80,none,1.8911
52,0.0679,0.068,0.055,0.9691,80,none,1.7257
53,0.0689,0.069,0.055,0.9329,80,none,1.7198
54,0.0698,0.07,0.055,0.9467,80,none,1.7198
55,0.0708,0.071,0.055,1.1141,80,none,1.7071
56,0.072,0.072,0.055,0.9825,80,none,1.7071
57,0.073,0.073,0.055,0.9699,80,none,1.6928
58,0.074,0.074,0.055,1.0275,80,none,1.6928
59,0.075,0.075,0.055,1.0241,80,none,1.6928
60,0.0761,0.076,0.055,1.0046,90,ef_up:80->90,1.6928
61,0.0784,0.078,0.055,1.041,90,none,1.3059
62,0.0795,0.08,0.055,0.9584,90,none,1.3059
63,0.0805,0.08,0.055,1.0636,90,none,1.3059
64,0.0816,0.082,0.055,0.9814,90,none,1.3059
65,0.0826,0.083,0.055,0.9848,90,none,1.3022
66,0.0836,0.084,0.055,0.9963,90,none,1.3022
67,0.0846,0.085,0.055,0.9573,90,none,1.263
68,0.0856,0.086,0.055,1.072,90,none,1.263
69,0.0867,0.087,0.055,1.1964,90,none,1.263
70,0.088,0.088,0.055,1.2931,90,none,1.2552
71,0.0893,0.089,0.055,1.1233,90,none,1.2552
72,0.0905,0.09,0.087,1.3007,90,none,1.297
73,0.0918,0.092,0.087,1.2609,90,none,1.297
74,0.0931,0.093,0.087,1.136,90,none,1.297
75,0.0943,0.094,0.087,0.9949,90,none,1.297
76,0.0953,0.095,0.087,0.9615,90,none,1.297
77,0.0963,0.096,0.087,1.0083,90,none,1.297
78,0.0974,0.097,0.087,0.8952,90,none,1.297
79,0.0983,0.098,0.087,0.9304,90,none,1.297
80,0.0993,0.099,0.087,0.8975,90,none,1.297
81,0.1002,0.1,0.087,1.0111,90,none,1.297
82,0.1012,0.101,0.087,0.9075,90,none,1.297
83,0.1022,0.102,0.087,0.9643,90,none,1.297
84,0.1032,0.103,0.087,0.9479,90,none,1.297
85,0.1041,0.104,0.087,0.982,100,ef_up:90->100,1.297
86,0.1065,0.106,0.087,1.0974,100,none,1.297
87,0.1076,0.108,0.087,1.0635,100,none,1.297
88,0.1087,0.109,0.087,1.0109,100,none,1.297
89,0.1097,0.11,0.087,1.0219,100,none,1.297
90,0.1108,0.111,0.087,1.0239,100,none,1.297
91,0.1119,0.112,0.087,1.0414,100,none,1.297
92,0.1129,0.113,0.087,1.1307,100,none,1.297
93,0.1141,0.114,0.087,1.0485,100,none,1.297
94,0.1152,0.115,0.087,1.0438,100,none,1.297
95,0.1163,0.116,0.087,1.0208,100,none,1.297
96,0.1173,0.117,0.087,1.0179,100,none,1.297
97,0.1184,0.118,0.087,1.04,100,none,1.297
98,0.1194,0.119,0.087,1.0057,100,none,1.297
99,0.1205,0.12,0.087,1.1032,100,none,1.297
100,0.1216,0.122,0.087,1.3917,100,none,1.3471
101,0.1231,0.123,0.087,1.1489,100,none,1.3471
102,0.1243,0.124,0.119,1.1607,100,none,1.3471
103,0.1255,0.125,0.119,1.1492,100,none,1.3471
104,0.1266,0.127,0.119,1.076,100,none,1.3471
105,0.1278,0.128,0.119,1.0847,100,none,1.3471
106,0.1289,0.129,0.119,1.1465,100,none,1.3471
107,0.13,0.13,0.119,1.0448,100,none,1.3471
108,0.1311,0.131,0.119,1.1112,100,none,1.3471
109,0.1323,0.132,0.119,1.0469,100,none,1.3471
110,0.1334,0.133,0.119,1.0718,100,none,1.3471
111,0.1345,0.134,0.119,1.2237,100,none,1.3471
112,0.1357,0.136,0.119,1.1434,100,none,1.3471
113,0.1369,0.137,0.119,1.1073,100,none,1.3471
114,0.138,0.138,0.119,1.0335,100,none,1.3471
115,0.1391,0.139,0.119,1.009,100,none,1.3471
116,0.1401,0.14,0.119,1.075,100,none,1.3471
117,0.1413,0.141,0.119,1.0565,100,none,1.3471
118,0.1423,0.142,0.119,1.0258,100,none,1.3471
119,0.1434,0.143,0.119,1.0439,100,none,1.3471
120,0.1445,0.144,0.119,0.9768,100,none,1.3471
121,0.1455,0.145,0.119,1.0466,100,none,1.3471
122,0.1466,0.147,0.119,1.0216,100,none,1.3276
123,0.1476,0.148,0.119,1.0085,100,none,1.3094
124,0.1487,0.149,0.119,1.007,100,none,1.3094
125,0.1497,0.15,0.119,1.0411,100,none,1.3094
126,0.1508,0.151,0.119,1.0228,100,none,1.3094
127,0.1518,0.152,0.119,0.9996,100,none,1.3094
128,0.1529,0.153,0.119,1.0906,100,none,1.3094
129,0.154,0.154,0.119,1.0127,100,none,1.3094
130,0.155,0.155,0.119,1.0679,100,none,1.3094
131,0.1561,0.156,0.119,1.0048,100,none,1.3094
132,0.1572,0.157,0.119,1.019,100,none,1.3094
133,0.1582,0.158,0.119,1.0316,100,none,1.3094
134,0.1593,0.159,0.119,1.083,100,none,1.3094
135,0.1604,0.16,0.119,1.064,100,none,1.3094
136,0.1615,0.162,0.119,1.2813,100,none,1.3376
137,0.1628,0.163,0.119,1.4628,100,none,1.4279
138,0.1643,0.164,0.119,1.3217,100,none,1.4279
139,0.1657,0.166,0.16,1.2806,100,none,1.4279
140,0.167,0.167,0.16,1.313,100,none,1.4279
141,0.1684,0.168,0.16,1.1744,100,none,1.4279
142,0.1696,0.17,0.16,1.0465,100,none,1.4279
143,0.1707,0.171,0.16,1.3691,100,none,1.4279
144,0.1721,0.172,0.16,1.2875,100,none,1.4279
145,0.1734,0.173,0.16,1.1904,100,none,1.4279
146,0.1746,0.175,0.16,1.0537,100,none,1.4279
147,0.1757,0.176,0.16,1.0958,100,none,1.4279
148,0.1768,0.177,0.16,0.99,100,none,1.4279
