query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms,ef_search,controller_action,recent_window_p99_ms
1,0.0,0.0,0.0,8.9701,100,none,
2,0.0092,0.02,0.0,1.7163,100,none,8.8976
3,0.011,0.023,0.0,1.4367,100,none,8.8251
4,0.0125,0.027,0.0,1.4212,100,none,8.7525
5,0.0139,0.03,0.0,1.3536,100,none,8.68
6,0.0153,0.033,0.0,1.3084,100,none,8.6074
7,0.0167,0.036,0.0,1.4472,100,none,8.5349
8,0.0182,0.039,0.0,1.3431,100,none,8.4624
9,0.0195,0.042,0.0,1.2889,100,none,8.3898
10,0.0209,0.045,0.0,1.2781,90,ef_down:100->90,8.3173
11,0.024,0.051,0.0,2.1355,90,none,8.2867
12,0.0261,0.056,0.0,1.2292,90,none,8.2183
13,0.0274,0.058,0.0,1.4291,90,none,8.15
14,0.0289,0.062,0.0,1.5934,90,none,8.0816
15,0.0305,0.065,0.0,1.3157,90,none,8.0133
16,0.0319,0.068,0.051,1.355,90,none,7.9449
17,0.0333,0.071,0.051,1.2391,90,none,7.8766
18,0.0346,0.074,0.051,1.1164,90,none,7.8082
19,0.0358,0.076,0.051,1.0334,90,none,7.7399
20,0.0368,0.079,0.051,0.972,90,none,7.6715
21,0.0378,0.081,0.051,0.9657,90,none,7.6032
22,0.0388,0.083,0.051,1.0635,90,none,7.5349
23,0.0399,0.085,0.051,1.0326,90,none,7.4665
24,0.041,0.087,0.051,1.0573,90,none,7.3982
25,0.0421,0.09,0.051,0.9577,90,none,7.3298
26,0.0431,0.092,0.051,0.9686,90,none,7.2615
27,0.0441,0.094,0.051,0.9475,90,none,7.1931
28,0.045,0.096,0.051,0.9738,90,none,7.1248
29,0.046,0.098,0.051,1.1233,90,none,7.0564
30,0.0472,0.101,0.051,1.1663,90,none,6.9881
31,0.0484,0.103,0.051,1.1042,90,none,6.9197
32,0.0496,0.106,0.051,1.0331,90,none,6.8514
33,0.0506,0.108,0.051,1.0946,90,none,6.783
34,0.0518,0.11,0.051,1.1759,90,none,6.7147
35,0.053,0.113,0.051,1.165,80,ef_down:90->80,6.6463
36,0.0556,0.119,0.051,1.2334,80,none,6.578
37,0.0569,0.121,0.051,1.0065,80,none,6.5097
38,0.0579,0.124,0.051,1.0453,80,none,6.4413
39,0.059,0.126,0.051,1.0826,80,none,6.373
40,0.0601,0.128,0.051,1.2017,80,none,6.3046
41,0.0614,0.131,0.051,1.197,80,none,6.2363
42,0.0626,0.134,0.051,1.175,80,none,6.1679
43,0.0638,0.136,0.051,1.0247,80,none,6.0996
44,0.0649,0.138,0.101,1.1554,80,none,6.0312
45,0.0661,0.141,0.101,1.1151,80,none,5.9629
46,0.0672,0.143,0.101,1.2273,80,none,5.8945
47,0.0685,0.146,0.126,1.2589,80,none,5.8262
48,0.0698,0.149,0.126,1.2526,80,none,5.7578
49,0.0711,0.152,0.126,1.158,80,none,5.6895
50,0.0723,0.154,0.126,1.4632,80,none,5.6211
51,0.0738,0.158,0.126,1.1111,80,none,1.93
52,0.075,0.16,0.126,1.1269,80,none,1.8699
53,0.0762,0.162,0.126,1.0741,80,none,1.8699
54,0.0773,0.165,0.126,1.0082,80,none,1.8699
55,0.0783,0.167,0.126,1.005,80,none,1.8699
56,0.0794,0.169,0.126,0.9623,80,none,1.8699
57,0.0804,0.171,0.126,0.9313,80,none,1.8699
58,0.0813,0.173,0.126,0.9939,80,none,1.8699
59,0.0823,0.176,0.126,0.9822,80,none,1.8699
60,0.0834,0.178,0.126,0.9676,90,ef_up:80->90,1.8699
61,0.0858,0.183,0.126,1.2548,90,none,1.5296
62,0.0871,0.186,0.126,0.9203,90,none,1.5296
63,0.088,0.188,0.126,1.0342,90,none,1.5296
64,0.0891,0.19,0.126,0.9483,90,none,1.4102
65,0.0901,0.192,0.126,0.9588,90,none,1.4102
66,0.0911,0.194,0.126,1.1459,90,none,1.3631
67,0.0923,0.197,0.126,1.0413,90,none,1.3631
68,0.0933,0.199,0.126,1.054,90,none,1.3631
69,0.0944,0.201,0.126,1.0307,90,none,1.3631
70,0.0955,0.204,0.126,1.0004,90,none,1.3631
71,0.0965,0.206,0.126,0.9904,90,none,1.3631
72,0.0976,0.208,0.126,0.9656,90,none,1.3631
73,0.0986,0.21,0.126,1.0342,90,none,1.3631
74,0.0996,0.213,0.126,1.1961,90,none,1.3631
