elapsed_sec,latency_ms,target_pressure_pct,actual_pressure_pct,vmtouch_residency_pct,cache_action_pre_query,cache_action_post_query
8e-06,29.707762,5.0,90.04276,14.0,,
0.988215,5.499757,5.0,90.04276,14.0,,
0.993759,3.996494,5.0,90.04276,14.0,,
0.997781,3.599421,5.0,90.04276,14.0,,
1.001408,2.923675,5.0,90.04276,14.0,,
1.00435,2.781763,5.0,90.04276,14.0,,
1.007147,2.869424,5.0,90.04276,14.0,,
1.010035,3.398979,5.0,90.04276,14.0,,
1.013458,3.088316,5.0,90.04276,14.0,,
1.016569,3.009376,5.0,90.04276,14.0,,
1.019597,3.104176,5.0,90.321542,14.0,,
1.02284,2.674423,5.0,90.321542,14.0,,
1.025533,2.785344,5.0,90.321542,14.0,,
1.028333,2.533731,5.0,90.321542,14.0,,
1.03088,2.528352,5.0,90.321542,14.0,,
1.033422,2.549492,5.0,90.321542,14.0,,
1.035984,2.621602,5.0,90.321542,14.0,,
1.038619,2.40994,5.0,90.321542,14.0,,
1.041042,2.602602,5.0,90.321542,14.0,,
1.043655,2.776194,5.0,90.321542,14.0,,
1.046443,2.702073,5.0,90.321925,14.0,,
1.049257,2.786014,5.0,90.321925,14.0,,
1.052053,2.620092,5.0,90.321925,14.0,,
1.054683,2.157038,5.0,90.321925,14.0,,
1.05685,2.190509,5.0,90.321925,14.0,,
1.059051,2.159998,5.0,90.321925,14.0,,
1.06122,2.185939,5.0,90.321925,14.0,,
1.063415,2.136998,5.0,90.321925,14.0,,
1.065561,2.259539,5.0,90.321925,14.0,,
1.06783,1.991097,5.0,90.321925,14.0,,
1.06983,2.29776,5.0,90.321922,14.0,,
1.072212,2.157368,5.0,90.321922,14.0,,
1.074378,2.116357,5.0,90.321922,14.0,,
1.076504,2.43414,5.0,90.321922,14.0,,
1.078948,2.432481,5.0,90.321922,14.0,,
1.081391,2.33677,5.0,90.321922,14.0,,
1.083738,2.41271,5.0,90.321922,14.0,,
1.086159,2.154459,5.0,90.321922,14.0,,
1.088322,1.950976,5.0,90.321922,14.0,,
1.090281,2.138728,5.0,90.321922,14.0,,
1.092429,2.019008,5.0,90.322686,14.0,,
1.094527,2.28382,5.0,90.322686,14.0,,
1.096821,2.548751,5.0,90.322686,14.0,,
1.09938,3.943694,5.0,90.322686,14.0,,
1.103335,2.45299,5.0,90.322686,14.0,,
1.105798,2.45948,5.0,90.322686,14.0,,
1.108268,2.063778,5.0,90.322686,14.0,,
1.11034,2.067488,5.0,90.322686,14.0,,
1.112416,2.165578,5.0,90.322686,14.0,,
1.114589,2.091238,5.0,90.322686,14.0,,
1.116691,2.44916,5.0,90.322686,14.0,,
2.104707,3.500899,5.0,90.322686,14.0,,
2.108223,3.131947,5.0,90.322686,14.0,,
2.111365,3.038746,5.0,90.322686,14.0,,
2.114413,3.122006,5.0,90.322686,14.0,,
2.117543,2.847004,5.0,90.322686,14.0,,
2.120399,2.855594,5.0,90.322686,14.0,,
2.123264,2.869004,5.0,90.322686,14.0,,
2.126142,2.543842,5.0,90.322686,14.0,,
2.128694,2.580961,5.0,90.322686,14.0,,
2.131284,2.787133,5.0,90.323791,14.0,,
2.134169,2.809564,5.0,90.323791,14.0,,
2.136991,3.025156,5.0,90.323791,14.0,,
2.140029,3.302618,5.0,90.323791,14.0,,
2.143343,2.912434,5.0,90.323791,14.0,,
2.146267,2.714773,5.0,90.323791,14.0,,
2.14899,2.628293,5.0,90.323791,14.0,,
2.151627,2.847704,5.0,90.323791,14.0,,
2.154485,3.165757,5.0,90.323791,14.0,,
2.157662,2.837724,5.0,90.323791,14.0,,
2.160508,2.659232,5.0,90.323433,14.0,,
2.163276,2.498272,5.0,90.323433,14.0,,
2.165784,2.567051,5.0,90.323433,14.0,,
2.168359,2.691982,5.0,90.323433,14.0,,
2.171062,2.997406,5.0,90.323433,14.0,,
2.174069,2.503631,5.0,90.323433,14.0,,
2.176581,2.868824,5.0,90.323433,14.0,,
2.179459,2.613393,5.0,90.323433,14.0,,
2.182081,2.567321,5.0,90.323433,14.0,,
2.184656,2.588792,5.0,90.323433,14.0,,
2.187253,2.592622,5.0,90.323433,14.0,,
2.189944,2.663693,5.0,90.323433,14.0,,
2.192616,2.525701,5.0,90.323433,14.0,,
2.195149,2.637863,5.0,90.323433,14.0,,
2.197795,2.623542,5.0,90.323433,14.0,,
2.200427,2.42288,5.0,90.323433,14.0,,
2.202858,2.751973,5.0,90.323433,14.0,,
2.205619,2.513651,5.0,90.323433,14.0,,
2.208141,2.482521,5.0,90.323433,14.0,,
2.210631,2.615993,5.0,90.323433,14.0,,
2.213258,2.610092,5.0,90.323433,14.0,,
2.215986,3.006285,5.0,90.323433,14.0,,
2.219002,3.027156,5.0,90.323433,14.0,,
2.22204,3.139416,5.0,90.323433,14.0,,
2.225188,2.518811,5.0,90.323433,14.0,,
2.227715,2.743933,5.0,90.323433,14.0,,
2.23047,2.826804,5.0,90.323433,14.0,,
2.233307,2.577482,5.0,90.323433,14.0,,
2.235893,2.418261,5.0,90.323433,14.0,,
2.23832,2.3786,5.0,90.323433,14.0,,
2.240707,2.564222,5.0,90.323433,14.0,,
3.207299,6.349253,5.0,90.323433,14.0,,
3.213682,5.069713,5.0,90.323433,14.0,,
3.218776,4.71342,5.0,90.323433,14.0,,
3.223509,4.047424,5.0,90.323433,14.0,,
3.227573,3.774712,5.0,90.323433,14.0,,
3.231365,4.485798,5.0,90.323433,14.0,,
3.235867,3.752511,5.0,90.323433,14.0,,
3.239633,3.649071,5.0,90.323433,14.0,,
3.243299,4.379448,5.0,90.323433,14.0,,
3.247693,4.102024,5.0,90.32471,14.0,,
3.251979,4.365737,5.0,90.32471,14.0,,
3.256358,4.354907,5.0,90.32471,14.0,,
3.260728,3.792062,5.0,90.32471,14.0,,
3.264532,3.782642,5.0,90.32471,14.0,,
3.268328,2.824664,5.0,90.32471,14.0,,
3.271164,1.983707,5.0,90.32471,14.0,,
3.273157,1.877856,5.0,90.32471,14.0,,
3.275044,1.949287,5.0,90.32471,14.0,,
3.277002,1.918476,5.0,90.32471,14.0,,
3.278929,1.938176,5.0,90.32471,14.0,,
3.280962,2.007097,5.0,90.32471,14.0,,
