query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,vmtouch_residency_pct,latency_ms,cache_action_pre_query,cache_action_post_query
0,5e-06,5.0,90.057126,14.0,26.231267,,
1,1.003439,5.0,90.057126,14.0,4.467169,,
2,1.007935,5.0,90.057126,14.0,4.56932,,
3,1.012523,5.0,90.057126,14.0,3.534501,,
4,1.016075,5.0,90.057126,14.0,3.677182,,
5,1.019769,5.0,90.057126,14.0,3.571581,,
6,1.023357,5.0,90.057126,14.0,3.800703,,
7,1.027175,5.0,90.057126,14.0,3.742632,,
8,1.030933,5.0,90.057126,14.0,3.530911,,
9,1.034479,5.0,90.057126,14.0,3.218998,,
10,1.037711,5.0,90.319889,14.0,3.692492,,
11,1.041514,5.0,90.319889,14.0,3.291209,,
12,1.044819,5.0,90.319889,14.0,3.45319,,
13,1.048283,5.0,90.319889,14.0,3.014906,,
14,1.051309,5.0,90.319889,14.0,3.001136,,
15,1.05432,5.0,90.319889,14.0,2.932965,,
16,1.057263,5.0,90.319889,14.0,2.857365,,
17,1.060134,5.0,90.319889,14.0,2.917075,,
18,1.063063,5.0,90.319889,14.0,2.907595,,
19,1.065981,5.0,90.319889,14.0,2.887335,,
20,1.068878,5.0,90.319889,14.0,2.750634,,
21,1.071716,5.0,90.319889,14.0,2.806324,,
22,1.074532,5.0,90.319889,14.0,2.777994,,
23,1.07732,5.0,90.319889,14.0,2.705964,,
24,1.080035,5.0,90.319889,14.0,2.954505,,
25,1.083,5.0,90.319889,14.0,2.839095,,
26,1.085848,5.0,90.319889,14.0,2.853515,,
27,1.088711,5.0,90.319889,14.0,2.723373,,
28,1.091444,5.0,90.319889,14.0,3.023797,,
29,1.094477,5.0,90.319889,14.0,2.723203,,
30,1.097209,5.0,90.319889,14.0,3.105617,,
31,1.100394,5.0,90.319889,14.0,2.909745,,
32,1.103313,5.0,90.319889,14.0,2.993466,,
33,1.106316,5.0,90.319889,14.0,2.711944,,
34,1.109037,5.0,90.319889,14.0,2.879065,,
35,1.111926,5.0,90.319889,14.0,2.761024,,
36,1.114695,5.0,90.319889,14.0,2.877805,,
37,1.117582,5.0,90.319889,14.0,2.633413,,
38,1.120226,5.0,90.319889,14.0,3.053586,,
39,1.123291,5.0,90.319889,14.0,3.146257,,
40,1.126447,5.0,90.319889,14.0,2.944755,,
41,1.129479,5.0,90.319889,14.0,2.707173,,
42,1.132195,5.0,90.319889,14.0,2.782255,,
43,1.134986,5.0,90.319889,14.0,2.692963,,
44,1.137689,5.0,90.319889,14.0,3.134607,,
45,1.140834,5.0,90.319889,14.0,3.010696,,
46,1.143854,5.0,90.319889,14.0,2.963756,,
47,1.146828,5.0,90.319889,14.0,3.181768,,
48,1.150025,5.0,90.319889,14.0,3.270538,,
49,1.153305,5.0,90.319889,14.0,2.962076,,
50,1.156275,5.0,90.320301,14.0,2.856315,,
51,2.141762,5.0,90.320301,14.0,5.530538,,
52,2.147314,5.0,90.320301,14.0,3.972315,,
53,2.151304,5.0,90.320301,14.0,3.801583,,
54,2.15512,5.0,90.320301,14.0,3.736542,,
55,2.15887,5.0,90.320301,14.0,3.631932,,
56,2.162514,5.0,90.320301,14.0,3.591711,,
57,2.166118,5.0,90.320301,14.0,3.260158,,
58,2.16939,5.0,90.320301,14.0,3.355809,,
59,2.172757,5.0,90.320301,14.0,3.952244,,
60,2.176722,5.0,90.34489,14.0,3.721872,,
61,2.180546,5.0,90.34489,14.0,3.748143,,
62,2.184304,5.0,90.34489,14.0,3.364709,,
63,2.187677,5.0,90.34489,14.0,3.168447,,
64,2.190856,5.0,90.34489,14.0,3.869684,,
65,2.194737,5.0,90.34489,14.0,3.52442,,
66,2.19827,5.0,90.34489,14.0,3.56959,,
67,2.201849,5.0,90.34489,14.0,3.480441,,
68,2.205339,5.0,90.34489,14.0,4.65878,,
69,2.210008,5.0,90.34489,14.0,3.661262,,
70,2.213679,5.0,90.34489,14.0,3.600601,,
71,2.217377,5.0,90.34489,14.0,3.748213,,
72,2.221134,5.0,90.34489,14.0,4.131115,,
73,2.225276,5.0,90.34489,14.0,3.525831,,
74,2.228812,5.0,90.34489,14.0,3.169707,,
75,2.23199,5.0,90.34489,14.0,3.004536,,
76,2.235003,5.0,90.34489,14.0,2.736043,,
77,2.237748,5.0,90.34489,14.0,2.715854,,
78,2.240474,5.0,90.34489,14.0,2.917335,,
79,2.243402,5.0,90.34489,14.0,2.894645,,
80,2.246306,5.0,90.34489,14.0,2.802905,,
81,2.249194,5.0,90.34489,14.0,2.636432,,
82,2.251839,5.0,90.34489,14.0,2.582032,,
83,2.25443,5.0,90.34489,14.0,2.622173,,
84,2.257061,5.0,90.34489,14.0,4.568979,,
85,2.26164,5.0,90.34489,14.0,2.910936,,
86,2.264562,5.0,90.34489,14.0,2.788524,,
87,2.267361,5.0,90.34489,14.0,2.927515,,
88,2.270299,5.0,90.34489,14.0,3.064617,,
89,2.273374,5.0,90.34489,14.0,2.850155,,
90,2.276234,5.0,90.345081,14.0,2.833064,,
91,2.279155,5.0,90.345081,14.0,2.684453,,
92,2.281848,5.0,90.345081,14.0,2.584103,,
93,2.284441,5.0,90.345081,14.0,2.518132,,
94,2.286967,5.0,90.345081,14.0,2.582662,,
95,2.289558,5.0,90.345081,14.0,2.601983,,
96,2.29217,5.0,90.345081,14.0,2.805844,,
97,2.294985,5.0,90.345081,14.0,2.644563,,
98,2.29764,5.0,90.345081,14.0,2.927585,,
99,2.300576,5.0,90.345081,14.0,2.540372,,
100,2.303127,5.0,90.345081,14.0,2.666123,,
101,3.252527,5.0,90.345081,14.0,4.598489,,
102,3.257148,5.0,90.345081,14.0,3.985394,,
103,3.26115,5.0,90.345081,14.0,3.567331,,
104,3.264736,5.0,90.345081,14.0,3.504571,,
105,3.268263,5.0,90.345081,14.0,3.744562,,
106,3.272031,5.0,90.345081,14.0,3.790312,,
107,3.275841,5.0,90.345081,14.0,3.604082,,
108,3.279464,5.0,90.345081,14.0,3.428,,
109,3.282908,5.0,90.345081,14.0,3.363739,,
110,3.286288,5.0,90.346292,14.0,3.374039,,
111,3.289766,5.0,90.346292,14.0,3.528661,,
112,3.293312,5.0,90.346292,14.0,3.826113,,
113,3.297157,5.0,90.346292,14.0,4.107506,,
114,3.301281,5.0,90.346292,14.0,4.819472,,
115,3.306118,5.0,90.346292,14.0,5.212095,,
116,3.31135,5.0,90.346292,14.0,5.125654,,
117,3.316494,5.0,90.346292,14.0,5.499067,,
118,3.32201,5.0,90.346292,14.0,5.233806,,
119,3.327261,5.0,90.346292,14.0,5.135264,,
120,3.332415,5.0,90.346292,14.0,5.289605,,
121,3.337851,5.0,90.346292,14.0,5.174774,,
122,3.343042,5.0,90.346292,14.0,5.287286,,
123,3.348344,5.0,90.346292,14.0,5.115265,,
124,3.353473,5.0,90.346292,14.0,5.264406,,
125,3.358751,5.0,90.346292,14.0,5.975121,,
126,3.36474,5.0,90.346292,14.0,5.143055,,
127,3.369895,5.0,90.346292,14.0,3.800763,,
128,3.373707,5.0,90.346292,14.0,3.576221,,
129,3.377295,5.0,90.346292,14.0,3.510121,,
130,3.380818,5.0,90.346292,14.0,2.734783,,
131,3.383637,5.0,90.346292,14.0,2.693634,,
132,3.386341,5.0,90.346292,14.0,2.863424,,
133,3.389216,5.0,90.346292,14.0,3.321229,,
