elapsed_sec,latency_ms,target_pressure_pct,actual_pressure_pct,vmtouch_residency_pct,cache_action_pre_query,cache_action_post_query
5e-06,26.231267,5.0,90.057126,14.0,,
1.003439,4.467169,5.0,90.057126,14.0,,
1.007935,4.56932,5.0,90.057126,14.0,,
1.012523,3.534501,5.0,90.057126,14.0,,
1.016075,3.677182,5.0,90.057126,14.0,,
1.019769,3.571581,5.0,90.057126,14.0,,
1.023357,3.800703,5.0,90.057126,14.0,,
1.027175,3.742632,5.0,90.057126,14.0,,
1.030933,3.530911,5.0,90.057126,14.0,,
1.034479,3.218998,5.0,90.057126,14.0,,
1.037711,3.692492,5.0,90.319889,14.0,,
1.041514,3.291209,5.0,90.319889,14.0,,
1.044819,3.45319,5.0,90.319889,14.0,,
1.048283,3.014906,5.0,90.319889,14.0,,
1.051309,3.001136,5.0,90.319889,14.0,,
1.05432,2.932965,5.0,90.319889,14.0,,
1.057263,2.857365,5.0,90.319889,14.0,,
1.060134,2.917075,5.0,90.319889,14.0,,
1.063063,2.907595,5.0,90.319889,14.0,,
1.065981,2.887335,5.0,90.319889,14.0,,
1.068878,2.750634,5.0,90.319889,14.0,,
1.071716,2.806324,5.0,90.319889,14.0,,
1.074532,2.777994,5.0,90.319889,14.0,,
1.07732,2.705964,5.0,90.319889,14.0,,
1.080035,2.954505,5.0,90.319889,14.0,,
1.083,2.839095,5.0,90.319889,14.0,,
1.085848,2.853515,5.0,90.319889,14.0,,
1.088711,2.723373,5.0,90.319889,14.0,,
1.091444,3.023797,5.0,90.319889,14.0,,
1.094477,2.723203,5.0,90.319889,14.0,,
1.097209,3.105617,5.0,90.319889,14.0,,
1.100394,2.909745,5.0,90.319889,14.0,,
1.103313,2.993466,5.0,90.319889,14.0,,
1.106316,2.711944,5.0,90.319889,14.0,,
1.109037,2.879065,5.0,90.319889,14.0,,
1.111926,2.761024,5.0,90.319889,14.0,,
1.114695,2.877805,5.0,90.319889,14.0,,
1.117582,2.633413,5.0,90.319889,14.0,,
1.120226,3.053586,5.0,90.319889,14.0,,
1.123291,3.146257,5.0,90.319889,14.0,,
1.126447,2.944755,5.0,90.319889,14.0,,
1.129479,2.707173,5.0,90.319889,14.0,,
1.132195,2.782255,5.0,90.319889,14.0,,
1.134986,2.692963,5.0,90.319889,14.0,,
1.137689,3.134607,5.0,90.319889,14.0,,
1.140834,3.010696,5.0,90.319889,14.0,,
1.143854,2.963756,5.0,90.319889,14.0,,
1.146828,3.181768,5.0,90.319889,14.0,,
1.150025,3.270538,5.0,90.319889,14.0,,
1.153305,2.962076,5.0,90.319889,14.0,,
1.156275,2.856315,5.0,90.320301,14.0,,
2.141762,5.530538,5.0,90.320301,14.0,,
2.147314,3.972315,5.0,90.320301,14.0,,
2.151304,3.801583,5.0,90.320301,14.0,,
2.15512,3.736542,5.0,90.320301,14.0,,
2.15887,3.631932,5.0,90.320301,14.0,,
2.162514,3.591711,5.0,90.320301,14.0,,
2.166118,3.260158,5.0,90.320301,14.0,,
2.16939,3.355809,5.0,90.320301,14.0,,
2.172757,3.952244,5.0,90.320301,14.0,,
2.176722,3.721872,5.0,90.34489,14.0,,
2.180546,3.748143,5.0,90.34489,14.0,,
2.184304,3.364709,5.0,90.34489,14.0,,
2.187677,3.168447,5.0,90.34489,14.0,,
2.190856,3.869684,5.0,90.34489,14.0,,
2.194737,3.52442,5.0,90.34489,14.0,,
2.19827,3.56959,5.0,90.34489,14.0,,
2.201849,3.480441,5.0,90.34489,14.0,,
2.205339,4.65878,5.0,90.34489,14.0,,
2.210008,3.661262,5.0,90.34489,14.0,,
2.213679,3.600601,5.0,90.34489,14.0,,
2.217377,3.748213,5.0,90.34489,14.0,,
2.221134,4.131115,5.0,90.34489,14.0,,
2.225276,3.525831,5.0,90.34489,14.0,,
2.228812,3.169707,5.0,90.34489,14.0,,
2.23199,3.004536,5.0,90.34489,14.0,,
2.235003,2.736043,5.0,90.34489,14.0,,
2.237748,2.715854,5.0,90.34489,14.0,,
2.240474,2.917335,5.0,90.34489,14.0,,
2.243402,2.894645,5.0,90.34489,14.0,,
2.246306,2.802905,5.0,90.34489,14.0,,
2.249194,2.636432,5.0,90.34489,14.0,,
2.251839,2.582032,5.0,90.34489,14.0,,
2.25443,2.622173,5.0,90.34489,14.0,,
2.257061,4.568979,5.0,90.34489,14.0,,
2.26164,2.910936,5.0,90.34489,14.0,,
2.264562,2.788524,5.0,90.34489,14.0,,
2.267361,2.927515,5.0,90.34489,14.0,,
2.270299,3.064617,5.0,90.34489,14.0,,
