query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms,ef_search,controller_action,recent_window_p99_ms
1,0.0,0.0,0.0,9.2848,100,none,
2,0.0095,0.011,0.0,3.8368,100,none,9.2304
3,0.0134,0.016,0.0,2.8738,100,none,9.1759
4,0.0163,0.019,0.0,2.3654,100,none,9.1214
5,0.0187,0.022,0.0,2.0948,90,ef_down:100->90,9.0669
6,0.0226,0.027,0.0,3.522,90,none,9.0124
7,0.0262,0.031,0.0,4.7739,90,none,9.0142
8,0.031,0.037,0.031,2.0969,90,none,8.9691
9,0.0331,0.039,0.031,2.0833,90,none,8.924
10,0.0353,0.042,0.031,1.935,90,none,8.8788
11,0.0372,0.044,0.031,1.7623,90,none,8.8337
12,0.039,0.046,0.031,1.704,90,none,8.7886
13,0.0408,0.048,0.031,1.6816,90,none,8.7435
14,0.0425,0.05,0.031,1.6759,90,none,8.6984
15,0.0442,0.052,0.031,1.8073,90,none,8.6533
16,0.046,0.055,0.031,1.6758,90,none,8.6082
17,0.0477,0.057,0.031,1.8235,90,none,8.5631
18,0.0496,0.059,0.031,1.8044,90,none,8.518
19,0.0514,0.061,0.031,2.1379,90,none,8.4729
20,0.0536,0.064,0.031,1.6644,90,none,8.4278
21,0.0553,0.066,0.031,5.667,90,none,8.5613
22,0.061,0.072,0.066,1.7787,90,none,8.5251
23,0.0628,0.075,0.066,1.723,90,none,8.4889
24,0.0646,0.077,0.066,1.7406,90,none,8.4527
25,0.0664,0.079,0.066,1.6388,90,none,8.4166
26,0.0681,0.081,0.066,1.7304,90,none,8.3804
27,0.0698,0.083,0.066,1.8828,90,none,8.3442
28,0.0718,0.085,0.066,1.7629,90,none,8.308
29,0.0736,0.087,0.066,1.8525,90,none,8.2718
30,0.0755,0.09,0.066,1.8103,80,ef_down:90->80,8.2357
31,0.0787,0.093,0.066,1.7991,80,none,8.1995
32,0.0806,0.096,0.066,1.6122,80,none,8.1633
33,0.0822,0.098,0.066,1.7595,80,none,8.1271
34,0.084,0.1,0.066,1.5839,80,none,8.091
35,0.0856,0.102,0.066,4.9395,80,none,8.0548
36,0.0906,0.108,0.102,1.8297,80,none,8.0186
37,0.0925,0.11,0.102,1.8594,80,none,7.9824
38,0.0944,0.112,0.102,1.7148,80,none,7.9462
39,0.0962,0.114,0.102,1.6996,80,none,7.9101
40,0.0979,0.116,0.102,1.8778,80,none,7.8739
41,0.0998,0.119,0.102,1.8852,80,none,7.8377
42,0.1018,0.121,0.102,1.6694,80,none,7.8015
43,0.1035,0.123,0.102,1.7441,80,none,7.7654
44,0.1053,0.125,0.102,1.6648,80,none,7.7292
45,0.107,0.127,0.102,1.6788,80,none,7.693
46,0.1087,0.129,0.102,1.8215,80,none,7.6568
47,0.1105,0.131,0.102,1.5921,80,none,7.6206
48,0.1122,0.133,0.102,4.7512,80,none,7.5845
49,0.117,0.139,0.133,2.0919,80,none,7.5483
50,0.1191,0.141,0.133,1.8273,80,none,7.5121
51,0.121,0.144,0.133,1.7323,80,none,5.3105
52,0.1228,0.146,0.133,1.6666,80,none,5.3105
53,0.1245,0.148,0.133,1.6602,80,none,5.3105
54,0.1262,0.15,0.133,1.7439,80,none,5.3105
55,0.128,0.152,0.133,1.6482,70,ef_down:80->70,5.3105
56,0.1312,0.156,0.133,1.9613,70,none,5.3105
57,0.1332,0.158,0.133,1.6879,70,none,5.3105
58,0.1349,0.16,0.133,1.6766,70,none,5.3105
59,0.1366,0.162,0.133,1.6341,70,none,5.3105
60,0.1383,0.164,0.133,1.7529,70,none,5.3105
61,0.1401,0.166,0.133,4.7781,70,none,5.3105
62,0.1449,0.172,0.133,2.2541,70,none,5.3105
63,0.1472,0.175,0.166,1.7208,70,none,5.3105
64,0.149,0.177,0.166,1.636,70,none,5.3105
65,0.1507,0.179,0.166,1.8263,70,none,5.3105
66,0.1525,0.181,0.166,1.6738,70,none,5.3105
67,0.1543,0.183,0.166,1.6574,70,none,5.3105
68,0.156,0.185,0.166,1.6583,70,none,5.3105
69,0.1577,0.187,0.166,2.0577,70,none,5.3105
70,0.1598,0.19,0.166,1.7626,70,none,5.3105
71,0.1616,0.192,0.166,1.7106,70,none,4.8604
72,0.1633,0.194,0.166,1.5594,70,none,4.8604
73,0.1649,0.196,0.166,1.5651,70,none,4.8604
74,0.1665,0.198,0.166,1.7097,70,none,4.8604
75,0.1683,0.2,0.166,1.6627,70,none,4.8604
76,0.17,0.202,0.166,1.6105,70,none,4.8604
77,0.1716,0.204,0.166,5.2097,70,none,5.0773
78,0.1769,0.21,0.204,1.9703,70,none,5.0773
79,0.1789,0.212,0.204,1.6881,70,none,5.0773
80,0.1806,0.214,0.204,1.7781,60,ef_down:70->60,5.0773
81,0.1838,0.218,0.204,1.8568,60,none,5.0773
82,0.1857,0.221,0.204,1.6684,60,none,5.0773
83,0.1875,0.223,0.204,1.6997,60,none,5.0773
84,0.1892,0.225,0.204,1.8883,60,none,5.0773
85,0.1911,0.227,0.204,1.6597,60,none,4.9982
86,0.1928,0.229,0.204,1.8621,60,none,4.9982
87,0.1947,0.231,0.204,1.824,60,none,4.9982
88,0.1966,0.233,0.204,1.7151,60,none,4.9982
89,0.1983,0.236,0.204,1.7141,60,none,4.9982
90,0.2001,0.238,0.204,4.5513,60,none,4.9982
91,0.2047,0.243,0.238,2.2008,60,none,4.9982
92,0.2069,0.246,0.238,1.7283,60,none,4.9982
93,0.2087,0.248,0.238,1.6772,60,none,4.9982
94,0.2104,0.25,0.238,1.6744,60,none,4.9982
95,0.2122,0.252,0.238,1.7323,60,none,4.9982
96,0.2139,0.254,0.238,1.7471,60,none,4.9982
97,0.2157,0.256,0.238,1.7503,60,none,4.9982
98,0.2175,0.258,0.238,3.3199,60,none,4.9982
99,0.2209,0.262,0.238,1.7121,60,none,4.9982
100,0.2226,0.264,0.238,1.7772,60,none,4.9982
101,0.2245,0.267,0.238,1.6941,60,none,4.9982
102,0.2262,0.269,0.238,1.6893,60,none,4.9982
