query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms,ef_search,controller_action,recent_window_p99_ms
1,0.0,0.0,0.0,7.9163,100,none,
2,0.0081,0.01,0.0,3.7284,100,none,7.8744
3,0.0119,0.014,0.0,3.1588,100,none,7.8325
4,0.0151,0.018,0.0,2.4391,100,none,7.7907
5,0.0176,0.021,0.0,2.0829,90,ef_down:100->90,7.7488
6,0.0213,0.025,0.0,4.0095,90,none,7.7209
7,0.0254,0.03,0.0,2.3212,90,none,7.6819
8,0.0277,0.033,0.0,1.906,90,none,7.6428
9,0.0297,0.035,0.03,2.0874,90,none,7.6037
10,0.0318,0.038,0.03,1.9233,90,none,7.5647
11,0.0338,0.04,0.03,1.8125,90,none,7.5256
12,0.0356,0.042,0.03,1.6986,90,none,7.4865
13,0.0373,0.044,0.03,1.5766,90,none,7.4475
14,0.039,0.046,0.03,1.6009,90,none,7.4084
15,0.0406,0.048,0.03,1.6349,90,none,7.3693
16,0.0422,0.05,0.03,1.564,90,none,7.3303
17,0.0438,0.052,0.03,1.678,90,none,7.2912
18,0.0456,0.054,0.03,1.5728,90,none,7.2521
19,0.0472,0.056,0.03,2.0126,90,none,7.2131
20,0.0492,0.058,0.03,1.5522,90,none,7.174
21,0.0508,0.06,0.03,1.8037,90,none,7.1349
22,0.0526,0.062,0.03,1.7223,90,none,7.0959
23,0.0544,0.065,0.03,2.086,90,none,7.0568
24,0.0565,0.067,0.03,1.5841,90,none,7.0177
25,0.0581,0.069,0.062,1.4654,90,none,6.9787
26,0.0596,0.071,0.062,1.6268,90,none,6.9396
27,0.0613,0.073,0.062,1.6797,90,none,6.9005
28,0.063,0.075,0.062,1.5943,90,none,6.8615
29,0.0646,0.077,0.062,1.6605,90,none,6.8224
30,0.0663,0.079,0.062,1.6017,80,ef_down:90->80,6.7833
31,0.0695,0.083,0.062,1.8978,80,none,6.7443
32,0.0714,0.085,0.062,1.7528,80,none,6.7052
33,0.0732,0.087,0.062,1.8503,80,none,6.6661
34,0.0751,0.089,0.062,1.6085,80,none,6.6271
35,0.0768,0.091,0.062,1.6049,80,none,6.588
36,0.0784,0.093,0.062,1.6966,80,none,6.5489
37,0.0801,0.095,0.062,1.715,80,none,6.5098
38,0.0819,0.097,0.062,2.0898,80,none,6.4708
39,0.084,0.1,0.062,2.2861,80,none,6.4317
40,0.0863,0.103,0.062,1.8449,80,none,6.3926
41,0.0882,0.105,0.097,1.7723,80,none,6.3536
42,0.09,0.107,0.097,1.6083,80,none,6.3145
43,0.0917,0.109,0.097,1.5781,80,none,6.2754
44,0.0933,0.111,0.097,1.5196,80,none,6.2364
45,0.0948,0.113,0.097,1.5409,80,none,6.1973
46,0.0964,0.114,0.097,1.6513,80,none,6.1582
47,0.0981,0.116,0.097,1.4685,80,none,6.1192
48,0.0996,0.118,0.097,1.5392,80,none,6.0801
49,0.1012,0.12,0.097,1.6088,80,none,6.041
50,0.1028,0.122,0.097,1.5213,80,none,6.002
51,0.1044,0.124,0.097,1.5864,80,none,3.8717
52,0.106,0.126,0.097,1.4545,80,none,3.5927
53,0.1075,0.128,0.097,1.489,80,none,3.24
54,0.109,0.129,0.097,1.626,80,none,3.1822
55,0.1107,0.131,0.097,1.541,80,none,3.1822
56,0.1123,0.133,0.097,1.9051,80,none,2.304
57,0.1142,0.136,0.097,1.8271,80,none,2.1899
58,0.116,0.138,0.131,1.5326,80,none,2.1899
59,0.1176,0.14,0.131,1.5222,80,none,2.1899
60,0.1192,0.142,0.131,1.6629,80,none,2.1899
61,0.1209,0.144,0.131,1.583,80,none,2.1899
62,0.1225,0.145,0.131,1.5084,80,none,2.1899
63,0.124,0.147,0.131,1.5013,80,none,2.1899
64,0.1255,0.149,0.131,1.4415,80,none,2.1899
65,0.127,0.151,0.131,1.5773,80,none,2.1899
66,0.1286,0.153,0.131,1.5635,80,none,2.1899
67,0.1302,0.155,0.131,1.5046,80,none,2.1899
68,0.1318,0.156,0.131,1.6806,80,none,2.1899
69,0.1335,0.159,0.131,2.2162,80,none,2.2518
70,0.1357,0.161,0.131,1.7416,80,none,2.2518
71,0.1375,0.163,0.131,1.6872,80,none,2.2518
72,0.1392,0.165,0.131,1.5224,80,none,2.2518
73,0.1408,0.167,0.131,1.9358,80,none,2.2518
74,0.1428,0.17,0.131,2.0487,80,none,2.2518
75,0.1449,0.172,0.165,1.6895,90,ef_up:80->90,2.2518
76,0.1482,0.176,0.165,1.9361,90,none,2.2518
77,0.1502,0.178,0.165,1.7589,90,none,2.2518
78,0.152,0.18,0.165,1.5249,90,none,2.2518
79,0.1535,0.182,0.165,1.4538,90,none,2.2518
80,0.155,0.184,0.165,1.5556,90,none,2.2518
81,0.1566,0.186,0.165,1.5094,90,none,2.2518
82,0.1581,0.188,0.165,1.6067,90,none,2.2518
83,0.1598,0.19,0.165,1.6812,90,none,2.2518
84,0.1615,0.192,0.165,1.879,90,none,2.2518
85,0.1634,0.194,0.165,1.5381,90,none,2.2518
86,0.165,0.196,0.165,1.6831,90,none,2.2518
87,0.1667,0.198,0.165,1.6193,90,none,2.2518
88,0.1684,0.2,0.165,1.5865,90,none,2.2518
89,0.17,0.202,0.165,2.0371,90,none,2.1341
90,0.1721,0.204,0.165,1.543,90,none,2.1341
91,0.1736,0.206,0.2,1.6236,90,none,2.1341
92,0.1753,0.208,0.2,1.49,90,none,2.1341
93,0.1768,0.21,0.2,1.4643,90,none,2.1341
94,0.1783,0.212,0.2,1.6435,90,none,2.1341
95,0.18,0.214,0.2,1.7195,90,none,2.1341
96,0.1817,0.216,0.2,1.6862,90,none,2.1341
97,0.1835,0.218,0.2,1.6786,90,none,2.1341
98,0.1852,0.22,0.2,1.5319,90,none,2.1341
99,0.1868,0.222,0.2,1.5323,90,none,2.1341
100,0.1883,0.224,0.2,1.6511,100,ef_up:90->100,2.1341
101,0.1915,0.227,0.2,1.6689,100,none,2.1341
102,0.1932,0.229,0.2,1.808,100,none,2.1341
103,0.1951,0.232,0.2,1.9836,100,none,2.1341
104,0.1971,0.234,0.2,1.7713,100,none,2.1341
105,0.1989,0.236,0.2,2.3384,100,none,2.2785
106,0.2013,0.239,0.2,1.7321,100,none,2.2785
107,0.203,0.241,0.234,1.703,100,none,2.2785
108,0.2048,0.243,0.234,1.5871,100,none,2.2785
109,0.2064,0.245,0.234,1.8215,100,none,2.2785
110,0.2083,0.247,0.234,1.6409,100,none,2.2785
111,0.2099,0.249,0.234,1.5803,100,none,2.2785
112,0.2115,0.251,0.234,1.6246,100,none,2.2785
113,0.2132,0.253,0.234,1.6861,100,none,2.2785
114,0.2149,0.255,0.234,1.6355,100,none,2.2785
115,0.2166,0.257,0.234,1.625,100,none,2.2785
116,0.2182,0.259,0.234,1.5785,100,none,2.2785
117,0.2199,0.261,0.234,1.6003,100,none,2.2785
118,0.2215,0.263,0.234,1.5415,100,none,2.2785
119,0.2231,0.265,0.234,1.5826,100,none,2.1965
120,0.2247,0.267,0.234,1.5764,100,none,2.1965
121,0.2263,0.269,0.234,1.888,100,none,2.1965
122,0.2282,0.271,0.234,2.057,100,none,2.2005
123,0.2303,0.273,0.234,1.5962,100,none,2.2005
124,0.2319,0.275,0.269,1.5866,100,none,2.2005
125,0.2335,0.277,0.269,1.5658,100,none,2.2005
126,0.2351,0.279,0.269,1.5714,100,none,2.2005
127,0.2367,0.281,0.269,1.5289,100,none,2.2005
128,0.2383,0.283,0.269,1.5108,100,none,2.2005
129,0.2398,0.285,0.269,2.3615,100,none,2.3502
130,0.2422,0.288,0.269,1.5995,100,none,2.3502
131,0.2439,0.29,0.269,1.4957,100,none,2.3502
132,0.2454,0.291,0.269,1.5817,100,none,2.3502
133,0.247,0.293,0.269,1.5246,100,none,2.3502
134,0.2486,0.295,0.269,1.5933,100,none,2.3502
135,0.2502,0.297,0.269,1.5802,100,none,2.3502
