query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms
1,0.0001,0.0,0.0,4.9857
2,0.0052,0.012,0.0,3.5533
3,0.0088,0.021,0.0,1.147
4,0.01,0.024,0.0,1.0029
5,0.011,0.026,0.0,1.0618
6,0.012,0.029,0.0,1.0309
7,0.0131,0.031,0.0,1.0027
8,0.0141,0.033,0.0,0.7722
9,0.0149,0.035,0.0,0.8543
10,0.0157,0.037,0.0,0.9108
11,0.0167,0.04,0.0,0.8854
12,0.0176,0.042,0.0,1.0264
13,0.0186,0.044,0.0,0.9436
14,0.0195,0.046,0.0,0.8988
15,0.0204,0.049,0.0,0.8338
16,0.0213,0.051,0.0,0.7623
17,0.0221,0.052,0.0,0.7945
18,0.0229,0.054,0.0,0.8
19,0.0237,0.056,0.0,0.7824
20,0.0245,0.058,0.0,0.7709
21,0.0252,0.06,0.0,0.891
22,0.0261,0.062,0.0,1.0946
23,0.0272,0.065,0.0,0.9569
24,0.0282,0.067,0.0,0.8344
25,0.029,0.069,0.0,0.7944
26,0.0298,0.071,0.0,0.8111
27,0.0307,0.073,0.0,0.8285
28,0.0315,0.075,0.0,0.9685
29,0.0325,0.077,0.0,0.907
30,0.0334,0.079,0.0,0.839
31,0.0342,0.081,0.0,0.8771
32,0.0351,0.083,0.0,0.9687
33,0.0361,0.086,0.0,0.9618
34,0.037,0.088,0.0,0.984
35,0.038,0.09,0.0,0.8398
36,0.0389,0.092,0.0,0.8972
37,0.0398,0.094,0.0,0.8996
38,0.0407,0.097,0.0,0.8
39,0.0415,0.099,0.0,0.9718
40,0.0425,0.101,0.0,0.8378
41,0.0433,0.103,0.0,0.7756
42,0.0441,0.105,0.0,1.0159
43,0.0451,0.107,0.0,1.0875
44,0.0462,0.11,0.0,0.8258
45,0.0471,0.112,0.0,0.8611
46,0.0479,0.114,0.0,0.8847
47,0.0488,0.116,0.0,0.8137
48,0.0496,0.118,0.0,0.8638
49,0.0505,0.12,0.0,0.8455
50,0.0513,0.122,0.0,0.8519
51,0.0523,0.124,0.05,0.8942
52,0.0532,0.126,0.05,0.8911
53,0.0541,0.128,0.05,1.0224
54,0.0551,0.131,0.05,0.872
55,0.056,0.133,0.05,0.9428
56,0.0569,0.135,0.06,0.881
57,0.0578,0.137,0.06,0.7491
58,0.0586,0.139,0.06,0.8809
59,0.0595,0.141,0.06,0.7483
60,0.0602,0.143,0.06,0.8934
61,0.0611,0.145,0.06,0.7594
62,0.0619,0.147,0.06,0.7269
63,0.0626,0.149,0.06,0.774
64,0.0634,0.151,0.06,0.7382
65,0.0641,0.152,0.06,0.8275
66,0.065,0.154,0.06,0.8995
67,0.0659,0.156,0.06,0.9541
68,0.0668,0.159,0.06,0.7751
69,0.0676,0.161,0.06,0.8507
70,0.0685,0.163,0.06,0.8722
71,0.0694,0.165,0.06,0.8624
72,0.0702,0.167,0.06,0.8048
73,0.071,0.169,0.06,0.7581
74,0.0718,0.171,0.06,0.8422
75,0.0726,0.173,0.06,0.8467
76,0.0735,0.175,0.06,0.7465
77,0.0743,0.176,0.06,0.8655
78,0.0751,0.178,0.06,0.7844
79,0.0759,0.18,0.06,0.8135
80,0.0767,0.182,0.06,0.7952
81,0.0775,0.184,0.06,0.8588
82,0.0784,0.186,0.06,0.7545
83,0.0792,0.188,0.06,0.7986
84,0.08,0.19,0.06,0.7421
85,0.0807,0.192,0.06,0.7273
86,0.0814,0.193,0.06,0.9869
87,0.0824,0.196,0.06,0.8296
88,0.0833,0.198,0.06,0.7591
89,0.084,0.2,0.06,0.7829
90,0.0848,0.201,0.06,1.0733
91,0.0859,0.204,0.06,0.771
92,0.0867,0.206,0.06,0.8817
93,0.0876,0.208,0.06,0.8313
94,0.0884,0.21,0.06,1.0214
95,0.0894,0.212,0.06,0.8434
96,0.0903,0.214,0.06,0.7915
97,0.0911,0.216,0.06,0.9894
98,0.0921,0.219,0.06,0.9566
99,0.093,0.221,0.06,0.8667
100,0.0939,0.223,0.06,0.9178
101,0.0949,0.225,0.06,1.1285
102,0.096,0.228,0.06,0.9114
103,0.0969,0.23,0.06,0.9669
104,0.0979,0.232,0.06,0.8761
105,0.0988,0.235,0.06,0.9049
106,0.0997,0.237,0.06,1.1428
107,0.1008,0.239,0.06,0.8589
108,0.1017,0.242,0.06,0.873
109,0.1026,0.244,0.06,0.8562
110,0.1034,0.246,0.06,0.7774
111,0.1042,0.248,0.06,0.9417
112,0.1052,0.25,0.06,0.9828
113,0.1062,0.252,0.06,1.0271
114,0.1072,0.255,0.06,0.9296
115,0.1081,0.257,0.11,0.8497
