query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms
1,0.0,0.0,0.0,12.175
2,0.0124,0.027,0.0,4.2338
3,0.0167,0.036,0.0,3.7541
4,0.0205,0.044,0.0,3.1657
5,0.0237,0.051,0.0,2.8513
6,0.0266,0.057,0.0,3.4181
7,0.0301,0.064,0.0,5.2273
8,0.0354,0.075,0.051,3.9694
9,0.0394,0.084,0.051,2.9852
10,0.0424,0.09,0.051,2.5634
11,0.045,0.096,0.051,2.4501
12,0.0475,0.101,0.051,2.6932
13,0.0502,0.107,0.051,2.682
14,0.0529,0.113,0.051,2.548
15,0.0555,0.118,0.051,2.6762
16,0.0582,0.124,0.051,2.44
17,0.0607,0.129,0.051,2.3297
18,0.063,0.134,0.051,3.4708
19,0.0665,0.142,0.051,3.4302
20,0.07,0.149,0.1,3.9047
21,0.074,0.158,0.1,4.202
22,0.0783,0.167,0.134,3.4714
23,0.0818,0.175,0.134,3.5708
24,0.0854,0.182,0.134,3.0064
25,0.0885,0.189,0.134,3.4996
26,0.092,0.196,0.134,2.5921
27,0.0947,0.202,0.134,2.5343
28,0.0973,0.207,0.134,2.4666
29,0.0998,0.213,0.134,2.4482
30,0.1022,0.218,0.134,2.3063
31,0.1046,0.223,0.134,2.8918
32,0.1075,0.229,0.134,2.5818
33,0.1101,0.235,0.134,2.4795
34,0.1126,0.24,0.134,2.9342
35,0.1156,0.247,0.134,2.7588
36,0.1184,0.253,0.134,4.3553
37,0.1228,0.262,0.184,4.3135
38,0.1272,0.271,0.184,3.9438
39,0.1312,0.28,0.247,3.9219
40,0.1352,0.288,0.247,2.9523
41,0.1382,0.295,0.247,3.3044
42,0.1416,0.302,0.247,2.7846
43,0.1444,0.308,0.247,3.3928
44,0.1479,0.315,0.247,3.2712
45,0.1512,0.322,0.247,3.3674
46,0.1546,0.33,0.247,3.3429
47,0.158,0.337,0.247,3.4361
48,0.1614,0.344,0.247,3.2629
49,0.1648,0.351,0.247,2.4336
50,0.1672,0.357,0.247,2.8145
51,0.1701,0.363,0.247,2.5406
52,0.1727,0.368,0.247,2.5673
53,0.1753,0.374,0.247,2.4246
54,0.1777,0.379,0.247,2.433
55,0.1802,0.384,0.247,2.4511
56,0.1827,0.39,0.247,2.5054
57,0.1852,0.395,0.247,2.3191
58,0.1876,0.4,0.247,2.5579
59,0.1902,0.406,0.247,3.4973
60,0.1937,0.413,0.247,3.4546
61,0.1973,0.421,0.296,4.1693
62,0.2016,0.43,0.346,3.7844
63,0.2054,0.438,0.346,3.5423
64,0.209,0.446,0.4,3.7128
65,0.2128,0.454,0.4,2.9318
66,0.2158,0.46,0.4,3.388
67,0.2193,0.468,0.4,3.1884
68,0.2225,0.475,0.4,3.3458
69,0.2259,0.482,0.4,3.3506
70,0.2293,0.489,0.4,3.2664
71,0.2326,0.496,0.4,3.3285
72,0.236,0.503,0.4,3.3049
73,0.2393,0.511,0.4,3.5723
74,0.2429,0.518,0.4,3.5062
75,0.2465,0.526,0.4,2.9785
76,0.2495,0.532,0.4,3.3312
77,0.2529,0.54,0.4,2.9724
78,0.2559,0.546,0.4,4.0349
79,0.26,0.555,0.4,2.9
80,0.263,0.561,0.4,2.4202
81,0.2654,0.566,0.4,2.5992
82,0.268,0.572,0.4,2.313
83,0.2704,0.577,0.4,2.6898
84,0.2731,0.583,0.4,2.3909
85,0.2755,0.588,0.4,2.3845
86,0.278,0.593,0.4,2.3072
87,0.2803,0.598,0.4,2.3519
88,0.2827,0.603,0.4,2.3263
89,0.285,0.608,0.4,2.375
90,0.2874,0.613,0.4,4.0312
91,0.2915,0.622,0.4,4.2019
92,0.2958,0.631,0.45,3.7593
93,0.2997,0.639,0.5,3.9528
94,0.3037,0.648,0.549,3.9474
95,0.3077,0.657,0.549,3.6665
96,0.3115,0.664,0.608,4.0194
97,0.3156,0.673,0.608,3.1418
98,0.3188,0.68,0.608,3.5245
99,0.3224,0.688,0.608,3.1531
100,0.3256,0.695,0.608,3.6056
101,0.3293,0.702,0.608,3.5038
102,0.3328,0.71,0.608,3.3025
103,0.3362,0.717,0.608,3.4732
104,0.3397,0.725,0.608,3.3757
105,0.3431,0.732,0.608,3.2673
106,0.3464,0.739,0.608,3.5662
107,0.35,0.747,0.608,2.7917
108,0.3528,0.753,0.608,3.6489
109,0.3565,0.761,0.608,3.3946
110,0.36,0.768,0.608,3.6061
111,0.3636,0.776,0.608,2.9032
112,0.3665,0.782,0.608,3.2645
113,0.3698,0.789,0.608,3.1598
114,0.373,0.796,0.608,3.0151
115,0.3761,0.802,0.608,3.0673
116,0.3792,0.809,0.608,3.4131
117,0.3826,0.816,0.608,3.5433
118,0.3862,0.824,0.608,3.5956
119,0.3898,0.832,0.608,3.2742
120,0.3931,0.839,0.608,2.7696
121,0.3959,0.845,0.608,2.6019
122,0.3986,0.85,0.608,2.3616
123,0.4009,0.855,0.608,2.4858
124,0.4035,0.861,0.608,2.4509
125,0.4059,0.866,0.608,2.7303
126,0.4087,0.872,0.608,2.7148
127,0.4115,0.878,0.608,2.4043
128,0.4139,0.883,0.608,2.3955
129,0.4163,0.888,0.608,2.3294
130,0.4187,0.893,0.608,2.6732
131,0.4214,0.899,0.608,3.9105
132,0.4254,0.907,0.608,3.5966
133,0.429,0.915,0.658,3.345
134,0.4325,0.923,0.708,3.998
135,0.4366,0.931,0.708,4.2716
136,0.4409,0.941,0.757,4.2739
137,0.4453,0.95,0.807,3.8798
138,0.4493,0.958,0.857,4.0384
139,0.4534,0.967,0.893,4.2681
140,0.4578,0.977,0.893,4.586
141,0.4625,0.987,0.893,3.4299
142,0.466,0.994,0.893,3.4292
143,0.4695,1.002,0.893,3.6396
144,0.4732,1.009,0.893,3.5922
145,0.4768,1.017,0.893,3.5475
146,0.4804,1.025,0.893,3.1657
147,0.4837,1.032,0.893,3.5103
148,0.4872,1.039,0.893,3.5374
149,0.4908,1.047,0.893,3.1076
150,0.494,1.054,0.893,3.2471
151,0.4973,1.061,0.893,3.2513
152,0.5007,1.068,0.893,3.4313
153,0.5041,1.075,0.893,3.2697
154,0.5075,1.083,0.893,3.7676
155,0.5113,1.091,0.893,3.3308
156,0.5146,1.098,0.893,3.69
157,0.5183,1.106,0.893,3.7419
158,0.5221,1.114,0.893,3.4375
159,0.5256,1.121,0.893,3.7892
160,0.5294,1.129,0.893,3.4724
161,0.5329,1.137,0.893,3.0561
162,0.536,1.144,0.893,3.0682
163,0.5391,1.15,0.893,2.5734
164,0.5417,1.156,0.893,3.7061
165,0.5455,1.164,0.893,2.906
166,0.5484,1.17,0.893,3.5744
167,0.552,1.178,0.893,2.845
168,0.5549,1.184,0.893,3.1289
169,0.5581,1.191,0.893,3.1874
170,0.5613,1.197,0.893,3.478
171,0.5648,1.205,0.893,3.1835
172,0.568,1.212,0.893,3.3853
173,0.5714,1.219,0.893,2.6082
174,0.5741,1.225,0.893,2.3304
175,0.5764,1.23,0.893,2.3219
176,0.5788,1.235,0.893,2.3585
177,0.5812,1.24,0.893,2.304
178,0.5835,1.245,0.893,2.407
179,0.5859,1.25,0.893,2.3655
180,0.5883,1.255,0.893,2.5336
181,0.5909,1.261,0.893,2.5073
182,0.5934,1.266,0.893,2.5004
183,0.5959,1.271,0.893,2.5383
184,0.5985,1.277,0.893,2.935
185,0.6015,1.283,0.893,3.4748
186,0.6051,1.291,0.943,3.9932
187,0.6092,1.3,0.943,3.7432
188,0.613,1.308,0.993,3.6147
189,0.6167,1.316,1.042,4.0224
190,0.6208,1.324,1.042,4.0816
191,0.625,1.333,1.092,4.7483
192,0.6299,1.344,1.142,3.9328
193,0.634,1.352,1.191,3.5854
194,0.6376,1.36,1.241,3.7097
195,0.6414,1.368,1.241,4.0906
196,0.6456,1.377,1.277,3.5856
