query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms
1,0.0,0.0,0.0,9.0402
2,0.0093,0.009,0.0,1.6155
3,0.011,0.011,0.0,1.3528
4,0.0124,0.012,0.0,1.3162
5,0.0137,0.014,0.0,1.3549
6,0.0151,0.015,0.0,1.1132
7,0.0162,0.016,0.0,1.2347
8,0.0175,0.018,0.0,1.2207
9,0.0188,0.019,0.0,1.2313
10,0.02,0.02,0.0,1.0728
11,0.0211,0.021,0.0,1.0428
12,0.0222,0.022,0.0,1.0205
13,0.0232,0.023,0.0,1.2119
14,0.0245,0.024,0.0,1.1615
15,0.0257,0.026,0.0,1.1692
16,0.0269,0.027,0.0,1.129
17,0.028,0.028,0.0,1.2625
18,0.0293,0.029,0.026,1.3786
19,0.0307,0.031,0.026,1.1902
20,0.0319,0.032,0.026,1.0736
21,0.033,0.033,0.026,1.1721
22,0.0343,0.034,0.026,1.1268
23,0.0354,0.035,0.026,1.1351
24,0.0366,0.037,0.026,1.1327
25,0.0377,0.038,0.026,1.0888
26,0.0389,0.039,0.026,1.0357
27,0.0399,0.04,0.026,1.0053
28,0.041,0.041,0.026,0.9528
29,0.0419,0.042,0.026,0.9938
30,0.043,0.043,0.026,0.9996
31,0.044,0.044,0.026,0.9742
32,0.045,0.045,0.026,0.9237
33,0.0459,0.046,0.026,1.0037
34,0.047,0.047,0.026,0.9456
35,0.0479,0.048,0.026,1.0029
36,0.049,0.049,0.026,0.9432
37,0.0499,0.05,0.026,0.9749
38,0.0509,0.051,0.026,0.9624
39,0.0519,0.052,0.026,0.9953
40,0.0529,0.053,0.026,0.9394
41,0.0539,0.054,0.026,0.952
42,0.0549,0.055,0.026,0.9248
43,0.0558,0.056,0.026,0.9336
44,0.0568,0.057,0.026,0.9297
45,0.0578,0.058,0.026,1.0113
46,0.0588,0.059,0.026,1.137
47,0.06,0.06,0.026,1.2397
48,0.0612,0.061,0.057,1.3885
49,0.0627,0.063,0.057,1.2473
50,0.0639,0.064,0.057,1.1067
51,0.0652,0.065,0.057,1.2567
52,0.0664,0.066,0.057,1.2735
53,0.0678,0.068,0.057,1.0379
54,0.0688,0.069,0.057,0.9115
55,0.0698,0.07,0.057,0.9613
56,0.0707,0.071,0.057,0.9424
57,0.0717,0.072,0.057,0.9081
58,0.0726,0.073,0.057,1.1202
59,0.0738,0.074,0.057,1.1336
60,0.075,0.075,0.057,0.9782
61,0.076,0.076,0.057,0.9234
62,0.0769,0.077,0.057,0.8954
63,0.0778,0.078,0.057,1.0124
64,0.0789,0.079,0.057,0.9299
65,0.0798,0.08,0.057,0.9453
66,0.0808,0.081,0.057,0.9647
67,0.0818,0.082,0.057,0.9059
68,0.0827,0.083,0.057,0.9413
69,0.0837,0.084,0.057,0.9246
70,0.0847,0.085,0.057,0.9137
71,0.0856,0.086,0.057,0.946
72,0.0866,0.087,0.057,0.9405
73,0.0875,0.088,0.057,0.9413
74,0.0885,0.089,0.057,0.8909
75,0.0894,0.089,0.057,0.9524
76,0.0904,0.09,0.057,0.9297
77,0.0914,0.091,0.057,0.9872
78,0.0924,0.092,0.057,0.9101
79,0.0933,0.093,0.057,0.9233
80,0.0943,0.094,0.057,0.9653
81,0.0953,0.095,0.057,1.2715
82,0.0966,0.097,0.057,1.1861
83,0.0978,0.098,0.057,1.0295
84,0.0988,0.099,0.094,1.2212
85,0.1001,0.1,0.094,1.2712
86,0.1014,0.101,0.094,1.1987
87,0.1026,0.103,0.094,1.2115
88,0.1039,0.104,0.094,1.0011
89,0.1049,0.105,0.094,1.1283
90,0.106,0.106,0.094,0.9546
91,0.107,0.107,0.094,1.1083
92,0.1082,0.108,0.094,1.2566
93,0.1094,0.109,0.094,1.2265
94,0.1107,0.111,0.094,1.1619
95,0.1119,0.112,0.094,0.9357
96,0.1129,0.113,0.094,0.9246
97,0.1138,0.114,0.094,0.9361
98,0.1148,0.115,0.094,0.9104
99,0.1157,0.116,0.094,0.8848
100,0.1166,0.117,0.094,0.9639
101,0.1176,0.118,0.094,0.9405
102,0.1186,0.119,0.094,0.9366
103,0.1196,0.12,0.094,0.9312
104,0.1205,0.121,0.094,0.8866
105,0.1214,0.121,0.094,1.0926
106,0.1226,0.123,0.094,1.0937
107,0.1237,0.124,0.094,0.9837
108,0.1248,0.125,0.094,1.0189
109,0.1258,0.126,0.094,0.9819
110,0.1268,0.127,0.094,0.9793
111,0.1278,0.128,0.094,0.9587
112,0.1288,0.129,0.094,1.0
113,0.1298,0.13,0.094,0.9684
114,0.1308,0.131,0.094,0.9199
115,0.1318,0.132,0.094,0.9
116,0.1327,0.133,0.094,0.9371
117,0.1337,0.134,0.094,0.9284
118,0.1346,0.135,0.094,0.8902
119,0.1356,0.136,0.094,0.9314
120,0.1365,0.137,0.094,0.9
121,0.1374,0.137,0.094,1.1031
122,0.1386,0.139,0.094,1.5109
123,0.1401,0.14,0.094,1.2741
124,0.1414,0.141,0.094,1.5052
125,0.143,0.143,0.137,1.4609
126,0.1445,0.144,0.137,1.2017
127,0.1457,0.146,0.137,1.2695
128,0.147,0.147,0.137,1.3715
129,0.1484,0.148,0.137,1.0499
130,0.1495,0.15,0.137,1.1474
131,0.1507,0.151,0.137,1.2777
132,0.152,0.152,0.137,1.2518
133,0.1533,0.153,0.137,1.2256
134,0.1546,0.155,0.137,1.3589
135,0.156,0.156,0.137,1.2827
136,0.1573,0.157,0.137,1.2714
137,0.1586,0.159,0.137,1.0804
138,0.1597,0.16,0.137,0.9671
139,0.1607,0.161,0.137,0.9303
140,0.1616,0.162,0.137,0.9962
141,0.1627,0.163,0.137,0.9122
142,0.1636,0.164,0.137,0.8767
143,0.1645,0.165,0.137,0.9773
144,0.1655,0.166,0.137,0.9333
145,0.1665,0.166,0.137,0.8837
146,0.1674,0.167,0.137,0.8919
147,0.1683,0.168,0.137,0.9501
148,0.1693,0.169,0.137,0.8542
149,0.1702,0.17,0.137,0.903
150,0.1711,0.171,0.137,0.8875
151,0.172,0.172,0.137,0.9068
152,0.173,0.173,0.137,0.9513
153,0.1739,0.174,0.137,0.917
154,0.1749,0.175,0.137,0.8865
155,0.1758,0.176,0.137,0.8951
156,0.1767,0.177,0.137,0.8818
157,0.1776,0.178,0.137,0.9309
158,0.1786,0.179,0.137,1.0354
159,0.1797,0.18,0.137,1.0069
160,0.1807,0.181,0.137,1.0687
161,0.1818,0.182,0.137,0.9763
162,0.1828,0.183,0.137,1.1975
163,0.184,0.184,0.137,1.0219
164,0.1851,0.185,0.137,1.1805
165,0.1863,0.186,0.137,1.2195
166,0.1876,0.188,0.137,1.2435
167,0.1889,0.189,0.137,1.2489
168,0.1901,0.19,0.184,1.2041
169,0.1914,0.191,0.184,1.2159
170,0.1926,0.193,0.184,1.1232
171,0.1938,0.194,0.184,1.1148
172,0.1949,0.195,0.184,1.2205
173,0.1962,0.196,0.184,0.9633
174,0.1972,0.197,0.184,1.1154
175,0.1983,0.198,0.184,1.234
176,0.1996,0.2,0.184,1.1159
177,0.2007,0.201,0.184,1.2252
178,0.202,0.202,0.184,1.2625
179,0.2033,0.203,0.184,1.2481
180,0.2045,0.205,0.184,1.1665
181,0.2057,0.206,0.184,1.2527
182,0.207,0.207,0.184,1.1339
183,0.2082,0.208,0.184,1.3829
184,0.2096,0.21,0.184,1.1959
185,0.2108,0.211,0.184,1.3793
186,0.2122,0.212,0.184,1.1555
187,0.2134,0.213,0.184,1.0544
188,0.2145,0.215,0.184,1.0202
189,0.2156,0.216,0.184,1.0368
190,0.2167,0.217,0.184,0.9906
191,0.2177,0.218,0.184,0.9996
192,0.2187,0.219,0.184,0.9501
193,0.2197,0.22,0.184,0.9029
194,0.2206,0.221,0.184,1.0031
195,0.2216,0.222,0.184,1.0386
196,0.2227,0.223,0.184,1.0296
197,0.2238,0.224,0.184,1.011
198,0.2248,0.225,0.184,1.0016
199,0.2259,0.226,0.184,0.9813
200,0.2269,0.227,0.184,0.9701
201,0.2279,0.228,0.184,0.9569
202,0.2289,0.229,0.184,0.9114
203,0.2298,0.23,0.184,0.859
204,0.2307,0.231,0.184,0.9197
205,0.2317,0.232,0.184,0.8727
206,0.2326,0.233,0.184,0.8923
207,0.2335,0.233,0.184,0.9889
208,0.2345,0.234,0.184,0.9113
209,0.2354,0.235,0.184,0.8936
210,0.2364,0.236,0.184,0.8788
211,0.2373,0.237,0.184,0.9099
212,0.2382,0.238,0.184,0.9915
213,0.2392,0.239,0.184,1.0211
214,0.2403,0.24,0.184,1.1659
215,0.2415,0.241,0.184,1.2273
216,0.2427,0.243,0.184,1.1129
217,0.2439,0.244,0.234,1.0184
218,0.245,0.245,0.238,1.2206
219,0.2462,0.246,0.238,1.121
220,0.2473,0.247,0.238,1.163
221,0.2485,0.249,0.238,1.3557
222,0.2499,0.25,0.238,1.3321
223,0.2513,0.251,0.238,1.1689
