query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,vmtouch_residency_pct,latency_ms,cache_action_pre_query,cache_action_post_query
0,6e-06,5.0,72.238069,40.8,8.003236,,
1,1.014521,5.0,72.238069,40.8,2.649708,,
2,1.017188,5.0,72.238069,40.8,2.554667,,
3,1.019752,5.0,72.238069,40.8,2.304295,,
4,1.022064,5.0,72.238069,40.8,2.275824,,
5,1.024349,5.0,72.238069,40.8,2.037192,,
6,1.026394,5.0,72.238069,40.8,2.055872,,
7,1.028458,5.0,72.238069,40.8,2.550437,,
8,1.031019,5.0,72.238069,40.8,2.269274,,
9,1.033298,5.0,72.238069,40.8,2.217774,,
10,1.035524,5.0,72.242278,40.8,2.119942,,
11,1.037748,5.0,72.242278,40.8,1.904061,,
12,1.03966,5.0,72.242278,40.8,2.032551,,
13,1.041701,5.0,72.242278,40.8,2.171064,,
14,1.04388,5.0,72.242278,40.8,2.037521,,
15,1.045926,5.0,72.242278,40.8,1.87366,,
16,1.047808,5.0,72.242278,40.8,2.267424,,
17,1.050083,5.0,72.242278,40.8,2.105932,,
18,1.052197,5.0,72.242278,40.8,2.148023,,
19,1.054353,5.0,72.242278,40.8,1.966311,,
20,1.056328,5.0,72.24266,40.8,2.468637,,
21,1.058907,5.0,72.24266,40.8,2.235564,,
22,1.061152,5.0,72.24266,40.8,2.289604,,
23,1.063451,5.0,72.24266,40.8,2.042312,,
24,1.065501,5.0,72.24266,40.8,2.167053,,
25,1.067677,5.0,72.24266,40.8,2.185884,,
26,1.06987,5.0,72.24266,40.8,2.510396,,
27,1.072389,5.0,72.24266,40.8,2.438656,,
28,1.074836,5.0,72.24266,40.8,2.892121,,
29,1.077735,5.0,72.24266,40.8,2.644888,,
30,1.080388,5.0,72.242851,40.8,2.524027,,
31,1.083033,5.0,72.242851,40.8,2.339645,,
32,1.08538,5.0,72.242851,40.8,2.378976,,
33,1.087768,5.0,72.242851,40.8,2.279834,,
34,1.090056,5.0,72.242851,40.8,2.439226,,
35,1.092504,5.0,72.242851,40.8,2.311475,,
36,1.094823,5.0,72.242851,40.8,2.406726,,
37,1.097238,5.0,72.242851,40.8,2.338594,,
38,1.099592,5.0,72.242851,40.8,2.438556,,
39,1.102039,5.0,72.242851,40.8,2.445906,,
40,1.104493,5.0,72.242851,40.8,2.622308,,
41,1.107201,5.0,72.242851,40.8,2.329164,,
42,1.109538,5.0,72.242851,40.8,2.353285,,
43,1.111899,5.0,72.242851,40.8,2.564437,,
44,1.114472,5.0,72.242851,40.8,2.320925,,
45,1.116801,5.0,72.242851,40.8,2.891281,,
46,1.119701,5.0,72.242851,40.8,2.428856,,
47,1.122138,5.0,72.242851,40.8,3.073273,,
48,1.125222,5.0,72.242851,40.8,2.84722,,
49,1.128079,5.0,72.242851,40.8,2.311825,,
50,1.130402,5.0,72.243033,40.8,2.688019,,
51,2.157631,5.0,72.243033,40.8,2.323195,,
52,2.159977,5.0,72.243033,40.8,2.112533,,
53,2.162102,5.0,72.243033,40.8,2.059632,,
54,2.164173,5.0,72.243033,40.8,2.021761,,
55,2.166206,5.0,72.243033,40.8,2.115642,,
56,2.168333,5.0,72.243033,40.8,2.047332,,
57,2.17039,5.0,72.243033,40.8,1.8743,,
58,2.172273,5.0,72.243033,40.8,1.85844,,
59,2.17414,5.0,72.243033,40.8,1.761009,,
60,2.17591,5.0,72.240633,40.8,1.729078,,
61,2.177729,5.0,72.240633,40.8,1.753079,,
62,2.179491,5.0,72.240633,40.8,1.774359,,
63,2.181273,5.0,72.240633,40.8,1.85699,,
64,2.183139,5.0,72.240633,40.8,1.777979,,
65,2.184926,5.0,72.240633,40.8,1.742449,,
66,2.186676,5.0,72.240633,40.8,1.742078,,
67,2.188426,5.0,72.240633,40.8,1.683818,,
68,2.190118,5.0,72.240633,40.8,1.751138,,
69,2.191877,5.0,72.240633,40.8,1.84204,,
70,2.193727,5.0,72.240633,40.8,1.709778,,
71,2.195519,5.0,72.240633,40.8,1.705058,,
72,2.197232,5.0,72.240633,40.8,1.715709,,
73,2.198956,5.0,72.240633,40.8,1.688408,,
74,2.200653,5.0,72.240633,40.8,1.646677,,
75,2.202308,5.0,72.240633,40.8,1.81501,,
76,2.20413,5.0,72.240633,40.8,1.701668,,
77,2.205841,5.0,72.240633,40.8,1.87908,,
78,2.20773,5.0,72.240633,40.8,1.83538,,
79,2.209577,5.0,72.240633,40.8,1.987371,,
80,2.211575,5.0,72.240633,40.8,1.953851,,
81,2.213631,5.0,72.240633,40.8,1.944851,,
82,2.215586,5.0,72.240633,40.8,1.8928,,
83,2.217488,5.0,72.240633,40.8,1.758409,,
84,2.219254,5.0,72.240633,40.8,1.631597,,
85,2.220894,5.0,72.240633,40.8,1.754838,,
86,2.222659,5.0,72.240633,40.8,1.911761,,
87,2.22458,5.0,72.240633,40.8,1.983591,,
88,2.226574,5.0,72.240633,40.8,1.923201,,
89,2.228506,5.0,72.240633,40.8,1.664097,,
90,2.230178,5.0,72.240633,40.8,1.722009,,
91,2.231997,5.0,72.240633,40.8,1.92124,,
92,2.233928,5.0,72.240633,40.8,2.200833,,
93,2.23614,5.0,72.240633,40.8,2.089272,,
94,2.238239,5.0,72.240633,40.8,1.90023,,
95,2.240149,5.0,72.240633,40.8,1.93744,,
96,2.242097,5.0,72.240633,40.8,1.779059,,
97,2.243887,5.0,72.240633,40.8,2.116962,,
98,2.246014,5.0,72.240633,40.8,1.87551,,
99,2.2479,5.0,72.240633,40.8,1.981221,,
100,2.249891,5.0,72.240633,40.8,1.776359,,
101,3.2488,5.0,72.240633,40.8,2.866961,,
102,3.251684,5.0,72.240633,40.8,2.359445,,
103,3.254058,5.0,72.240633,40.8,2.210494,,
104,3.256279,5.0,72.240633,40.8,2.045762,,
105,3.258334,5.0,72.240633,40.8,1.936061,,
106,3.260278,5.0,72.240633,40.8,2.140633,,
107,3.262428,5.0,72.240633,40.8,2.034581,,
108,3.264471,5.0,72.240633,40.8,2.044132,,
109,3.266523,5.0,72.240633,40.8,2.012152,,
110,3.268544,5.0,72.244265,40.8,2.251754,,
111,3.270913,5.0,72.244265,40.8,2.197734,,
112,3.273122,5.0,72.244265,40.8,2.206513,,
113,3.275339,5.0,72.244265,40.8,2.202324,,
114,3.27755,5.0,72.244265,40.8,2.022221,,
115,3.27958,5.0,72.244265,40.8,2.027232,,
116,3.281615,5.0,72.244265,40.8,1.88123,,
117,3.283504,5.0,72.244265,40.8,1.913891,,
118,3.285426,5.0,72.244265,40.8,1.971341,,
119,3.287406,5.0,72.244265,40.8,1.998161,,
120,3.289412,5.0,72.244265,40.8,1.89942,,
121,3.291389,5.0,72.244265,40.8,1.917051,,
122,3.293315,5.0,72.244265,40.8,2.038792,,
123,3.295361,5.0,72.244265,40.8,1.95481,,
124,3.297324,5.0,72.244265,40.8,1.93019,,
125,3.299262,5.0,72.244265,40.8,1.87224,,
126,3.301143,5.0,72.244265,40.8,1.958241,,
127,3.303111,5.0,72.244265,40.8,2.396836,,
128,3.305518,5.0,72.244265,40.8,2.129543,,
129,3.307658,5.0,72.244265,40.8,2.135472,,
130,3.309804,5.0,72.244265,40.8,2.338314,,
131,3.312257,5.0,72.244265,40.8,2.278974,,
132,3.314546,5.0,72.244265,40.8,2.257144,,
133,3.316812,5.0,72.244265,40.8,2.397676,,
134,3.319219,5.0,72.244265,40.8,2.176013,,
135,3.321405,5.0,72.244265,40.8,2.069132,,
136,3.323484,5.0,72.244265,40.8,2.071653,,
137,3.325564,5.0,72.244265,40.8,1.96669,,
138,3.327539,5.0,72.244265,40.8,2.094073,,
139,3.329641,5.0,72.244265,40.8,1.988581,,
140,3.331638,5.0,72.244265,40.8,1.999252,,
141,3.333725,5.0,72.244265,40.8,2.247993,,
142,3.335981,5.0,72.244265,40.8,1.881841,,
143,3.337871,5.0,72.244265,40.8,1.88319,,
144,3.339762,5.0,72.244265,40.8,2.288964,,
145,3.342061,5.0,72.244265,40.8,2.119313,,
146,3.344191,5.0,72.244265,40.8,2.317305,,
147,3.346517,5.0,72.244265,40.8,1.943731,,
148,3.348469,5.0,72.244265,40.8,1.977361,,
149,3.350455,5.0,72.244265,40.8,2.093352,,
150,3.352608,5.0,72.244265,40.8,2.002021,,
151,4.35722,5.0,72.244265,40.8,2.82705,,
152,4.360078,5.0,72.244265,40.8,2.413066,,
153,4.362517,5.0,72.244265,40.8,2.411106,,
154,4.364949,5.0,72.244265,40.8,1.997981,,
155,4.366969,5.0,72.244265,40.8,1.91558,,
156,4.368903,5.0,72.244265,40.8,2.038352,,
157,4.37096,5.0,72.244265,40.8,2.050732,,
158,4.373052,5.0,72.244265,40.8,1.997532,,
159,4.375067,5.0,72.244265,40.8,2.075592,,
160,4.37716,5.0,72.246004,40.8,1.993601,,
161,4.379277,5.0,72.246004,40.8,2.402915,,
162,4.381702,5.0,72.246004,40.8,2.159473,,
163,4.383887,5.0,72.246004,40.8,2.057062,,
164,4.385974,5.0,72.246004,40.8,1.932431,,
165,4.387925,5.0,72.246004,40.8,2.057412,,
166,4.389999,5.0,72.246004,40.8,1.989121,,
167,4.392005,5.0,72.246004,40.8,1.938351,,
168,4.393966,5.0,72.246004,40.8,1.86188,,
169,4.39585,5.0,72.246004,40.8,2.127413,,
170,4.398,5.0,72.246004,40.8,2.285965,,
171,4.40041,5.0,72.246004,40.8,2.117573,,
172,4.402546,5.0,72.246004,40.8,1.93012,,
173,4.404495,5.0,72.246004,40.8,2.168504,,
174,4.406689,5.0,72.246004,40.8,2.154853,,
175,4.408873,5.0,72.246004,40.8,2.277374,,
176,4.411169,5.0,72.246004,40.8,2.020331,,
177,4.413213,5.0,72.246004,40.8,2.216474,,
178,4.415453,5.0,72.246004,40.8,2.438896,,
179,4.417917,5.0,72.246004,40.8,2.247863,,
180,4.420189,5.0,72.246004,40.8,2.089512,,
181,4.42239,5.0,72.246004,40.8,2.118293,,
182,4.424527,5.0,72.246004,40.8,2.093182,,
183,4.426644,5.0,72.246004,40.8,2.145932,,
184,4.428812,5.0,72.246004,40.8,2.401195,,
185,4.431233,5.0,72.246004,40.8,2.074192,,
186,4.433326,5.0,72.246004,40.8,2.091112,,
187,4.435436,5.0,72.246004,40.8,1.922101,,
188,4.437376,5.0,72.246004,40.8,1.950941,,
189,4.439346,5.0,72.246004,40.8,2.186293,,
190,4.441551,5.0,72.246004,40.8,2.125313,,
191,4.443776,5.0,72.246004,40.8,1.92414,,
192,4.445719,5.0,72.246004,40.8,2.010071,,
193,4.447748,5.0,72.246004,40.8,1.943051,,
194,4.44971,5.0,72.246004,40.8,1.921741,,
195,4.45165,5.0,72.246004,40.8,1.988231,,
196,4.453656,5.0,72.246004,40.8,2.084822,,
197,4.45576,5.0,72.246004,40.8,2.361285,,
198,4.458148,5.0,72.246004,40.8,2.167073,,
199,4.460339,5.0,72.246004,40.8,2.153012,,
200,4.462511,5.0,72.246004,40.8,1.976331,,
201,5.452256,5.0,72.246004,40.8,2.780759,,
202,5.455074,5.0,72.246004,40.8,2.176823,,
203,5.457282,5.0,72.246004,40.8,2.402526,,
204,5.459712,5.0,72.246004,40.8,1.985761,,
205,5.461725,5.0,72.246004,40.8,1.997211,,
206,5.463755,5.0,72.246004,40.8,2.356615,,
207,5.466141,5.0,72.246004,40.8,2.070963,,
208,5.468239,5.0,72.246004,40.8,2.236154,,
209,5.4705,5.0,72.246004,40.8,2.080062,,
210,5.472602,5.0,72.247312,40.8,2.232044,,
211,5.474939,5.0,72.247312,40.8,2.062512,,
212,5.477024,5.0,72.247312,40.8,1.8956,,
213,5.478943,5.0,72.247312,40.8,1.962301,,
214,5.480935,5.0,72.247312,40.8,2.247314,,
215,5.483211,5.0,72.247312,40.8,2.068832,,
216,5.485305,5.0,72.247312,40.8,2.151263,,
217,5.487478,5.0,72.247312,40.8,2.406955,,
218,5.489905,5.0,72.247312,40.8,1.948171,,
219,5.491873,5.0,72.247312,40.8,1.93133,,
220,5.493825,5.0,72.247312,40.8,1.877019,,
221,5.495811,5.0,72.247312,40.8,1.94591,,
222,5.497777,5.0,72.247312,40.8,2.021171,,
223,5.499819,5.0,72.247312,40.8,1.8533,,
224,5.501692,5.0,72.247312,40.8,2.083842,,
225,5.503798,5.0,72.247312,40.8,1.822849,,
226,5.505641,5.0,72.247312,40.8,2.186094,,
227,5.507846,5.0,72.247312,40.8,2.193863,,
228,5.510069,5.0,72.247312,40.8,2.209093,,
229,5.512306,5.0,72.247312,40.8,2.368506,,
230,5.514702,5.0,72.247312,40.8,2.083692,,
231,5.516913,5.0,72.247312,40.8,1.97138,,
232,5.51891,5.0,72.247312,40.8,1.980031,,
233,5.520913,5.0,72.247312,40.8,2.254194,,
234,5.523188,5.0,72.247312,40.8,2.327445,,
235,5.525544,5.0,72.247312,40.8,2.339725,,
236,5.527911,5.0,72.247312,40.8,2.091352,,
