query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,vmtouch_residency_pct,latency_ms,cache_action_pre_query,cache_action_post_query
0,5e-06,5.0,90.058233,13.7,24.783792,,
1,1.002615,5.0,90.058233,13.7,3.207038,,
2,1.005843,5.0,90.058233,13.7,2.753474,,
3,1.00861,5.0,90.058233,13.7,2.417081,,
4,1.011037,5.0,90.058233,13.7,2.550101,,
5,1.013597,5.0,90.058233,13.7,2.465652,,
6,1.016072,5.0,90.058233,13.7,2.655432,,
7,1.018735,5.0,90.058233,13.7,2.627622,,
8,1.021372,5.0,90.058233,13.7,2.763864,,
9,1.024146,5.0,90.058233,13.7,2.569462,,
10,1.026726,5.0,90.325305,13.7,2.770384,,
11,1.029601,5.0,90.325305,13.7,2.618152,,
12,1.032228,5.0,90.325305,13.7,2.33893,,
13,1.034574,5.0,90.325305,13.7,2.29492,,
14,1.036877,5.0,90.325305,13.7,2.449381,,
15,1.039335,5.0,90.325305,13.7,2.29255,,
16,1.041635,5.0,90.325305,13.7,2.32049,,
17,1.043963,5.0,90.325305,13.7,2.115328,,
18,1.046087,5.0,90.325305,13.7,2.162108,,
19,1.048257,5.0,90.325305,13.7,2.22749,,
20,1.050492,5.0,90.325906,13.7,2.071287,,
21,1.052655,5.0,90.325906,13.7,2.246609,,
22,1.054916,5.0,90.325906,13.7,2.051947,,
23,1.056976,5.0,90.325906,13.7,2.115138,,
24,1.059099,5.0,90.325906,13.7,2.180509,,
25,1.061288,5.0,90.325906,13.7,2.179619,,
26,1.063475,5.0,90.325906,13.7,2.032097,,
27,1.065516,5.0,90.325906,13.7,2.011208,,
28,1.067535,5.0,90.325906,13.7,2.191249,,
29,1.069734,5.0,90.325906,13.7,2.027807,,
30,1.07177,5.0,90.325906,13.7,2.094798,,
31,1.073961,5.0,90.325906,13.7,1.937716,,
32,1.075907,5.0,90.325906,13.7,1.961427,,
33,1.077876,5.0,90.325906,13.7,2.063528,,
34,1.079948,5.0,90.325906,13.7,2.125458,,
35,1.082081,5.0,90.325906,13.7,1.949257,,
36,1.084038,5.0,90.325906,13.7,2.108718,,
37,1.086155,5.0,90.325906,13.7,2.046098,,
38,1.088209,5.0,90.325906,13.7,2.027157,,
39,1.090244,5.0,90.325906,13.7,1.884046,,
40,1.092136,5.0,90.325906,13.7,2.382061,,
41,1.094599,5.0,90.325906,13.7,1.904106,,
42,1.096511,5.0,90.325906,13.7,1.998927,,
43,1.098519,5.0,90.325906,13.7,2.071518,,
44,1.100598,5.0,90.325906,13.7,1.988207,,
45,1.102594,5.0,90.325906,13.7,2.065848,,
46,1.104668,5.0,90.325906,13.7,2.172618,,
47,1.106848,5.0,90.325906,13.7,1.897386,,
48,1.108753,5.0,90.325906,13.7,1.918966,,
49,1.11068,5.0,90.325906,13.7,1.861696,,
50,1.11255,5.0,90.325906,13.7,2.026828,,
51,2.120326,5.0,90.325906,13.7,3.953884,,
52,2.124294,5.0,90.325906,13.7,2.936555,,
53,2.127244,5.0,90.325906,13.7,2.872885,,
54,2.130126,5.0,90.325906,13.7,2.436331,,
55,2.13257,5.0,90.325906,13.7,2.505851,,
56,2.135085,5.0,90.325906,13.7,2.650583,,
57,2.137743,5.0,90.325906,13.7,2.488351,,
58,2.14024,5.0,90.325906,13.7,2.509662,,
59,2.142758,5.0,90.325906,13.7,2.282699,,
60,2.145051,5.0,90.327906,13.7,2.718513,,
61,2.147879,5.0,90.327906,13.7,2.813644,,
62,2.150703,5.0,90.327906,13.7,2.926145,,
63,2.15364,5.0,90.327906,13.7,2.813654,,
64,2.156464,5.0,90.327906,13.7,2.717244,,
65,2.159193,5.0,90.327906,13.7,2.602142,,
66,2.161805,5.0,90.327906,13.7,2.705513,,
67,2.164521,5.0,90.327906,13.7,2.770524,,
68,2.1673,5.0,90.327906,13.7,2.441911,,
69,2.16975,5.0,90.327906,13.7,2.540012,,
70,2.172298,5.0,90.327906,13.7,2.478941,,
71,2.174888,5.0,90.327906,13.7,2.548242,,
72,2.177445,5.0,90.327906,13.7,2.649283,,
73,2.180102,5.0,90.327906,13.7,2.445551,,
74,2.182556,5.0,90.327906,13.7,2.780254,,
75,2.185344,5.0,90.327906,13.7,2.423141,,
76,2.187776,5.0,90.327906,13.7,2.574512,,
77,2.190359,5.0,90.327906,13.7,2.652863,,
78,2.193022,5.0,90.327906,13.7,3.162867,,
79,2.196195,5.0,90.327906,13.7,2.886394,,
80,2.199092,5.0,90.327906,13.7,2.882304,,
81,2.202091,5.0,90.327906,13.7,2.375861,,
82,2.204476,5.0,90.327906,13.7,2.784724,,
83,2.207269,5.0,90.327906,13.7,2.40404,,
84,2.209683,5.0,90.327906,13.7,2.766844,,
85,2.21246,5.0,90.327906,13.7,2.776164,,
86,2.215245,5.0,90.327906,13.7,2.529662,,
87,2.217783,5.0,90.327906,13.7,2.36147,,
88,2.220153,5.0,90.327906,13.7,2.427041,,
89,2.222589,5.0,90.327906,13.7,2.824464,,
90,2.225421,5.0,90.328288,13.7,2.586572,,
91,2.22812,5.0,90.328288,13.7,2.956826,,
92,2.231087,5.0,90.328288,13.7,2.703973,,
93,2.233803,5.0,90.328288,13.7,2.728683,,
94,2.236542,5.0,90.328288,13.7,2.919715,,
95,2.239472,5.0,90.328288,13.7,2.622172,,
96,2.242103,5.0,90.328288,13.7,2.533172,,
97,2.244647,5.0,90.328288,13.7,2.579072,,
98,2.247236,5.0,90.328288,13.7,2.899345,,
99,2.250144,5.0,90.328288,13.7,2.534292,,
100,2.252687,5.0,90.328288,13.7,2.34196,,
101,3.232469,5.0,90.328288,13.7,4.896572,,
102,3.237386,5.0,90.328288,13.7,4.092625,,
103,3.241488,5.0,90.328288,13.7,4.74355,,
104,3.246241,5.0,90.328288,13.7,3.702401,,
105,3.249953,5.0,90.328288,13.7,3.717392,,
106,3.25368,5.0,90.328288,13.7,3.916944,,
107,3.257606,5.0,90.328288,13.7,4.243856,,
108,3.26186,5.0,90.328288,13.7,3.998185,,
109,3.265867,5.0,90.328288,13.7,2.770383,,
110,3.268647,5.0,90.335947,13.7,2.897084,,
111,3.271664,5.0,90.335947,13.7,2.762494,,
112,3.274435,5.0,90.335947,13.7,2.929775,,
113,3.277373,5.0,90.335947,13.7,3.092817,,
114,3.280474,5.0,90.335947,13.7,1.880656,,
115,3.282362,5.0,90.335947,13.7,1.868596,,
116,3.284239,5.0,90.335947,13.7,1.994407,,
117,3.286241,5.0,90.335947,13.7,2.153789,,
118,3.288402,5.0,90.335947,13.7,2.176558,,
119,3.290586,5.0,90.335947,13.7,2.106998,,
120,3.292701,5.0,90.335947,13.7,2.510171,,
121,3.295305,5.0,90.335947,13.7,2.177249,,
122,3.297491,5.0,90.335947,13.7,2.37564,,
123,3.299875,5.0,90.335947,13.7,2.35135,,
124,3.302234,5.0,90.335947,13.7,2.356871,,
125,3.304599,5.0,90.335947,13.7,2.33874,,
126,3.306946,5.0,90.335947,13.7,2.34605,,
127,3.3093,5.0,90.335947,13.7,2.181949,,
128,3.31149,5.0,90.335947,13.7,2.41419,,
129,3.313923,5.0,90.335947,13.7,2.876835,,
130,3.31681,5.0,90.336138,13.7,2.836065,,
131,3.319785,5.0,90.336138,13.7,2.687053,,
132,3.322482,5.0,90.336138,13.7,2.885145,,
133,3.325377,5.0,90.336138,13.7,2.558682,,
134,3.327945,5.0,90.336138,13.7,2.3986,,
135,3.330351,5.0,90.336138,13.7,2.26412,,
136,3.332623,5.0,90.336138,13.7,2.299349,,
137,3.334931,5.0,90.336138,13.7,2.172319,,
138,3.337111,5.0,90.336138,13.7,2.34226,,
139,3.339462,5.0,90.336138,13.7,2.874245,,
140,3.342345,5.0,90.336521,13.7,3.006036,,
141,3.345479,5.0,90.336521,13.7,2.835424,,
142,3.348324,5.0,90.336521,13.7,3.108127,,
143,3.351442,5.0,90.336521,13.7,2.995986,,
144,3.354448,5.0,90.336521,13.7,3.173987,,
145,3.357632,5.0,90.336521,13.7,4.084035,,
146,3.361725,5.0,90.336521,13.7,3.836423,,
147,3.36557,5.0,90.336521,13.7,3.696372,,
148,3.369274,5.0,90.336521,13.7,3.721362,,
149,3.373006,5.0,90.336521,13.7,3.920443,,
150,3.377016,5.0,90.336521,13.7,3.772992,,
151,4.362902,5.0,90.336521,13.7,2.601443,,
152,4.365531,5.0,90.336521,13.7,2.244359,,
153,4.367802,5.0,90.336521,13.7,1.944497,,
154,4.369771,5.0,90.336521,13.7,1.999527,,
155,4.371794,5.0,90.336521,13.7,1.877836,,
156,4.373695,5.0,90.336521,13.7,2.055217,,
157,4.375773,5.0,90.336521,13.7,1.873496,,
158,4.37767,5.0,90.336521,13.7,1.939947,,
159,4.379631,5.0,90.336521,13.7,1.905006,,
160,4.381555,5.0,90.337027,13.7,1.787206,,
161,4.383438,5.0,90.337027,13.7,1.804866,,
162,4.38526,5.0,90.337027,13.7,1.748635,,
163,4.387026,5.0,90.337027,13.7,1.898506,,
164,4.388943,5.0,90.337027,13.7,1.761736,,
165,4.390723,5.0,90.337027,13.7,2.047027,,
166,4.392787,5.0,90.337027,13.7,1.912517,,
167,4.394717,5.0,90.337027,13.7,1.914346,,
168,4.39665,5.0,90.337027,13.7,1.863326,,
169,4.398532,5.0,90.337027,13.7,1.965166,,
170,4.400515,5.0,90.337027,13.7,1.825875,,
171,4.402443,5.0,90.337027,13.7,2.022708,,
172,4.404483,5.0,90.337027,13.7,2.038337,,
173,4.406541,5.0,90.337027,13.7,1.853886,,
174,4.408413,5.0,90.337027,13.7,1.788506,,
175,4.410219,5.0,90.337027,13.7,1.862106,,
176,4.412099,5.0,90.337027,13.7,1.729865,,
177,4.413847,5.0,90.337027,13.7,1.797635,,
178,4.415663,5.0,90.337027,13.7,2.043208,,
179,4.417725,5.0,90.337027,13.7,1.899416,,
180,4.419642,5.0,90.337027,13.7,2.059557,,
181,4.421801,5.0,90.337027,13.7,1.953027,,
182,4.423773,5.0,90.337027,13.7,1.907906,,
183,4.425699,5.0,90.337027,13.7,1.851286,,
184,4.427569,5.0,90.337027,13.7,1.734335,,
185,4.429323,5.0,90.337027,13.7,1.770745,,
186,4.431112,5.0,90.337027,13.7,1.977057,,
187,4.433108,5.0,90.337027,13.7,1.900456,,
188,4.435027,5.0,90.337027,13.7,1.962607,,
189,4.437009,5.0,90.337027,13.7,1.801176,,
190,4.438829,5.0,90.337027,13.7,2.073108,,
191,4.441012,5.0,90.337027,13.7,1.913776,,
192,4.442945,5.0,90.337027,13.7,1.752145,,
193,4.444718,5.0,90.337027,13.7,1.882747,,
194,4.44662,5.0,90.337027,13.7,1.771625,,
195,4.448411,5.0,90.337027,13.7,2.067948,,
196,4.450498,5.0,90.337027,13.7,1.877906,,
197,4.452396,5.0,90.337027,13.7,2.018088,,
198,4.454433,5.0,90.337027,13.7,1.956446,,
199,4.456409,5.0,90.337027,13.7,1.782755,,
200,4.458211,5.0,90.337027,13.7,1.782495,,
201,5.430833,5.0,90.337027,13.7,2.885845,,
202,5.433756,5.0,90.337027,13.7,2.232019,,
203,5.436022,5.0,90.337027,13.7,2.141789,,
204,5.438191,5.0,90.337027,13.7,2.565042,,
205,5.440778,5.0,90.337027,13.7,1.946307,,
206,5.442744,5.0,90.337027,13.7,1.947567,,
207,5.44471,5.0,90.337027,13.7,1.884596,,
208,5.446614,5.0,90.337027,13.7,2.083138,,
209,5.448717,5.0,90.337027,13.7,2.005347,,
210,5.450742,5.0,90.336506,13.7,1.999938,,
211,5.45285,5.0,90.336506,13.7,1.914957,,
212,5.454783,5.0,90.336506,13.7,2.167259,,
213,5.456971,5.0,90.336506,13.7,1.867446,,
214,5.458857,5.0,90.336506,13.7,2.063878,,
215,5.460939,5.0,90.336506,13.7,1.831456,,
216,5.462789,5.0,90.336506,13.7,1.872836,,
217,5.464682,5.0,90.336506,13.7,1.839646,,
218,5.46654,5.0,90.336506,13.7,2.032427,,
219,5.468592,5.0,90.336506,13.7,1.858246,,
220,5.470469,5.0,90.336506,13.7,1.921166,,
221,5.472478,5.0,90.336506,13.7,2.024347,,
222,5.474523,5.0,90.336506,13.7,1.905897,,
223,5.476449,5.0,90.336506,13.7,1.880566,,
224,5.47835,5.0,90.336506,13.7,1.948947,,
225,5.48032,5.0,90.336506,13.7,2.014717,,
226,5.482355,5.0,90.336506,13.7,2.012268,,
227,5.484388,5.0,90.336506,13.7,2.053307,,
228,5.486462,5.0,90.336506,13.7,1.916886,,
229,5.488401,5.0,90.336506,13.7,1.882366,,
230,5.490304,5.0,90.336506,13.7,2.141389,,
231,5.492538,5.0,90.336506,13.7,2.123368,,
232,5.494682,5.0,90.336506,13.7,2.030927,,
233,5.496735,5.0,90.336506,13.7,2.091287,,
234,5.498847,5.0,90.336506,13.7,1.879866,,
235,5.500749,5.0,90.336506,13.7,2.038877,,
236,5.502808,5.0,90.336506,13.7,1.913086,,
237,5.504744,5.0,90.336506,13.7,1.897067,,
238,5.506662,5.0,90.336506,13.7,2.079968,,
239,5.508764,5.0,90.336506,13.7,1.934226,,
240,5.510719,5.0,90.336506,13.7,1.936507,,
241,5.512749,5.0,90.336506,13.7,2.139608,,
242,5.514918,5.0,90.336506,13.7,2.013578,,
243,5.516958,5.0,90.336506,13.7,2.017227,,
244,5.518997,5.0,90.336506,13.7,1.935917,,
245,5.520957,5.0,90.336506,13.7,1.841756,,
246,5.52282,5.0,90.336506,13.7,2.215399,,
247,5.525056,5.0,90.336506,13.7,1.982747,,
248,5.52706,5.0,90.336506,13.7,1.828226,,
249,5.528918,5.0,90.336506,13.7,2.050908,,
250,5.530991,5.0,90.336506,13.7,2.049278,,
251,6.499263,5.0,90.336506,13.7,3.147757,,
252,6.502448,5.0,90.336506,13.7,2.163029,,
253,6.504645,5.0,90.336506,13.7,2.083948,,
254,6.50676,5.0,90.336506,13.7,2.047368,,
255,6.508837,5.0,90.336506,13.7,1.932056,,
256,6.510799,5.0,90.336506,13.7,1.891516,,
257,6.512722,5.0,90.336506,13.7,2.064068,,
258,6.514815,5.0,90.336506,13.7,2.027437,,
259,6.51687,5.0,90.336506,13.7,2.134278,,
260,6.519032,5.0,90.33413,13.7,1.784526,,
261,6.520937,5.0,90.33413,13.7,1.880586,,
262,6.522841,5.0,90.33413,13.7,1.991507,,
263,6.524855,5.0,90.33413,13.7,1.863896,,
264,6.526745,5.0,90.33413,13.7,1.893737,,
265,6.528663,5.0,90.33413,13.7,1.931636,,
266,6.530619,5.0,90.33413,13.7,1.819245,,
267,6.532461,5.0,90.33413,13.7,1.957597,,
268,6.534441,5.0,90.33413,13.7,1.854416,,
269,6.536319,5.0,90.33413,13.7,1.758946,,
270,6.5381,5.0,90.33413,13.7,2.005097,,
271,6.54021,5.0,90.33413,13.7,2.138438,,
272,6.542372,5.0,90.33413,13.7,2.025598,,
273,6.544422,5.0,90.33413,13.7,1.824455,,
274,6.54627,5.0,90.33413,13.7,2.110108,,
275,6.548404,5.0,90.33413,13.7,2.084348,,
276,6.550512,5.0,90.33413,13.7,2.111398,,
277,6.552647,5.0,90.33413,13.7,1.868596,,
278,6.554539,5.0,90.33413,13.7,1.829416,,
279,6.556392,5.0,90.33413,13.7,1.810756,,
280,6.558227,5.0,90.333735,13.7,1.753105,,
