elapsed_sec,latency_ms,target_pressure_pct,actual_pressure_pct,vmtouch_residency_pct,cache_action_pre_query,cache_action_post_query
6e-06,9.397576,5.0,72.250598,41.0,,
1.019521,3.629337,5.0,72.250598,41.0,,
1.023171,3.694388,5.0,72.250598,41.0,,
1.02688,3.270683,5.0,72.250598,41.0,,
1.030166,3.226754,5.0,72.250598,41.0,,
1.033406,3.277864,5.0,72.250598,41.0,,
1.036697,3.143502,5.0,72.250598,41.0,,
1.039853,3.083992,5.0,72.250598,41.0,,
1.042948,2.545446,5.0,72.250598,41.0,,
1.045504,2.762519,5.0,72.250598,41.0,,
1.048277,3.018511,5.0,72.258361,41.0,,
1.051397,2.788729,5.0,72.258361,41.0,,
1.054195,3.095222,5.0,72.258361,41.0,,
1.057304,3.184002,5.0,72.258361,41.0,,
1.060501,3.463405,5.0,72.258361,41.0,,
1.063974,3.779508,5.0,72.258361,41.0,,
1.06777,3.663468,5.0,72.258361,41.0,,
1.071445,3.432216,5.0,72.258361,41.0,,
1.074889,4.033201,5.0,72.258361,41.0,,
1.078936,4.115763,5.0,72.258361,41.0,,
1.083066,3.90838,5.0,72.258361,41.0,,
1.087092,3.523507,5.0,72.258361,41.0,,
1.090626,3.314454,5.0,72.258361,41.0,,
1.093951,3.574147,5.0,72.258361,41.0,,
1.097536,3.600387,5.0,72.258361,41.0,,
1.101146,3.383435,5.0,72.258361,41.0,,
1.104538,3.410325,5.0,72.258361,41.0,,
1.107957,3.290154,5.0,72.258361,41.0,,
1.111256,3.398045,5.0,72.258361,41.0,,
1.114664,4.197583,5.0,72.258361,41.0,,
1.118873,3.717589,5.0,72.258361,41.0,,
1.122696,3.430155,5.0,72.258361,41.0,,
1.126135,3.159743,5.0,72.258361,41.0,,
1.129304,3.360094,5.0,72.258361,41.0,,
1.132675,3.724359,5.0,72.258361,41.0,,
1.13641,3.553216,5.0,72.258361,41.0,,
1.139971,3.728439,5.0,72.258361,41.0,,
1.14371,3.476016,5.0,72.258361,41.0,,
1.147197,3.385515,5.0,72.258361,41.0,,
1.150592,3.237213,5.0,72.258361,41.0,,
1.153838,3.471116,5.0,72.258361,41.0,,
1.15742,3.259093,5.0,72.258361,41.0,,
1.160687,3.590458,5.0,72.258361,41.0,,
1.164286,3.490496,5.0,72.258361,41.0,,
1.167787,3.763908,5.0,72.258361,41.0,,
1.171561,3.397295,5.0,72.258361,41.0,,
1.174967,2.982431,5.0,72.258361,41.0,,
1.177958,3.304624,5.0,72.258361,41.0,,
1.181273,3.655508,5.0,72.258361,41.0,,
1.184939,3.650068,5.0,72.258361,41.0,,
1.1886,3.405325,5.0,72.258361,41.0,,
2.200878,3.089561,5.0,72.258361,41.0,,
2.203984,2.815038,5.0,72.258361,41.0,,
2.206816,2.845949,5.0,72.258361,41.0,,
2.209675,2.613237,5.0,72.258361,41.0,,
2.2123,2.696158,5.0,72.258361,41.0,,
2.215006,2.430375,5.0,72.258361,41.0,,
2.217444,2.632287,5.0,72.258361,41.0,,
2.220085,2.493326,5.0,72.258361,41.0,,
2.222588,2.686187,5.0,72.258361,41.0,,
2.225285,2.743198,5.0,72.261374,41.0,,
2.228129,2.95523,5.0,72.261374,41.0,,
2.231095,2.749709,5.0,72.261374,41.0,,
2.233854,2.422475,5.0,72.261374,41.0,,
2.236284,2.429305,5.0,72.261374,41.0,,
2.238722,2.465025,5.0,72.261374,41.0,,
2.241195,2.512876,5.0,72.261374,41.0,,
2.243716,2.546746,5.0,72.261374,41.0,,
2.246271,2.445386,5.0,72.261374,41.0,,
2.248727,2.734968,5.0,72.261374,41.0,,
2.251472,2.817059,5.0,72.261374,41.0,,
2.254403,2.773769,5.0,72.261374,41.0,,
2.257187,2.630627,5.0,72.261374,41.0,,
2.259827,2.718528,5.0,72.261374,41.0,,
2.262554,2.574216,5.0,72.261374,41.0,,
2.265139,2.671677,5.0,72.261374,41.0,,
2.26782,2.786929,5.0,72.261374,41.0,,
2.270618,2.664667,5.0,72.261374,41.0,,
2.273292,2.396854,5.0,72.261374,41.0,,
2.275697,2.491466,5.0,72.261374,41.0,,
2.278197,2.588287,5.0,72.261374,41.0,,
2.280893,2.810058,5.0,72.261374,41.0,,
2.283714,2.93797,5.0,72.261374,41.0,,
2.286664,2.744278,5.0,72.261374,41.0,,
2.289419,2.705738,5.0,72.261374,41.0,,
2.292135,2.614307,5.0,72.261374,41.0,,
2.294757,2.677958,5.0,72.261374,41.0,,
2.297446,2.837359,5.0,72.261374,41.0,,
2.300293,2.721498,5.0,72.261374,41.0,,
2.303025,2.821209,5.0,72.261374,41.0,,
2.305855,2.519245,5.0,72.261374,41.0,,
2.308462,2.478326,5.0,72.261374,41.0,,
2.310949,2.500996,5.0,72.261374,41.0,,
2.313459,2.398854,5.0,72.261374,41.0,,
2.315866,2.555267,5.0,72.261374,41.0,,
2.31843,2.428105,5.0,72.261374,41.0,,
2.320866,2.535036,5.0,72.261374,41.0,,
2.32341,2.599697,5.0,72.261374,41.0,,
2.32602,2.715998,5.0,72.261374,41.0,,
2.328746,2.643537,5.0,72.261374,41.0,,
2.331399,2.90059,5.0,72.261374,41.0,,
3.332558,4.362795,5.0,72.261374,41.0,,
3.336939,3.272224,5.0,72.261374,41.0,,
3.340226,2.980731,5.0,72.261374,41.0,,
3.343222,2.88819,5.0,72.261374,41.0,,
3.346124,2.775409,5.0,72.261374,41.0,,
3.348911,2.744848,5.0,72.261374,41.0,,
3.351669,2.646097,5.0,72.261374,41.0,,
3.354328,2.89988,5.0,72.261374,41.0,,
3.35724,2.724828,5.0,72.261374,41.0,,
3.359976,2.758589,5.0,72.254461,41.0,,
3.362828,2.701867,5.0,72.254461,41.0,,
3.365541,2.999861,5.0,72.254461,41.0,,
3.368551,2.731368,5.0,72.254461,41.0,,
3.371294,2.590276,5.0,72.254461,41.0,,
3.373894,2.337074,5.0,72.254461,41.0,,
3.376242,2.364374,5.0,72.254461,41.0,,
3.378616,2.292464,5.0,72.254461,41.0,,
3.380919,2.460105,5.0,72.254461,41.0,,
3.383388,2.370815,5.0,72.254461,41.0,,
3.385769,2.460525,5.0,72.254461,41.0,,
3.388317,2.493306,5.0,72.254461,41.0,,
3.39082,2.340544,5.0,72.254461,41.0,,
3.393169,2.626657,5.0,72.254461,41.0,,
3.395805,2.378134,5.0,72.254461,41.0,,
3.398192,2.392105,5.0,72.254461,41.0,,
3.400593,2.348674,5.0,72.254461,41.0,,
3.40295,2.368105,5.0,72.254461,41.0,,
3.405326,2.390055,5.0,72.254461,41.0,,
3.407725,2.354614,5.0,72.254461,41.0,,
3.410089,2.672077,5.0,72.254631,41.0,,
3.412863,2.669748,5.0,72.254631,41.0,,
3.415544,2.602807,5.0,72.254631,41.0,,
3.418156,2.504776,5.0,72.254631,41.0,,
3.420671,2.881319,5.0,72.254631,41.0,,
3.423563,2.757489,5.0,72.254631,41.0,,
3.426332,2.89556,5.0,72.254631,41.0,,
