query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,vmtouch_residency_pct,latency_ms,cache_action_pre_query,cache_action_post_query
0,5e-06,5.0,72.244441,40.9,7.92537,,
1,1.01082,5.0,72.244441,40.9,2.682997,,
2,1.013522,5.0,72.244441,40.9,2.145382,,
3,1.015678,5.0,72.244441,40.9,1.833459,,
4,1.017519,5.0,72.244441,40.9,2.067761,,
5,1.019596,5.0,72.244441,40.9,1.863359,,
6,1.021467,5.0,72.244441,40.9,1.863639,,
7,1.023339,5.0,72.244441,40.9,1.808658,,
8,1.025156,5.0,72.244441,40.9,2.225973,,
9,1.02739,5.0,72.244441,40.9,1.856819,,
10,1.029255,5.0,72.248541,40.9,1.898709,,
11,1.031252,5.0,72.248541,40.9,1.875999,,
12,1.033137,5.0,72.248541,40.9,1.97756,,
13,1.035123,5.0,72.248541,40.9,1.807809,,
14,1.036938,5.0,72.248541,40.9,2.02918,,
15,1.038976,5.0,72.248541,40.9,1.806489,,
16,1.04079,5.0,72.248541,40.9,2.03841,,
17,1.04284,5.0,72.248541,40.9,2.180142,,
18,1.04503,5.0,72.248541,40.9,2.00612,,
19,1.047044,5.0,72.248541,40.9,1.887819,,
20,1.04894,5.0,72.249115,40.9,1.94712,,
21,1.050978,5.0,72.249115,40.9,1.96023,,
22,1.052946,5.0,72.249115,40.9,2.050601,,
23,1.055005,5.0,72.249115,40.9,2.046311,,
24,1.057059,5.0,72.249115,40.9,2.593276,,
25,1.059661,5.0,72.249115,40.9,2.349024,,
26,1.062017,5.0,72.249115,40.9,2.735348,,
27,1.064761,5.0,72.249115,40.9,2.562026,,
28,1.067331,5.0,72.249115,40.9,2.859129,,
29,1.0702,5.0,72.249115,40.9,2.433515,,
30,1.072642,5.0,72.249682,40.9,2.403844,,
31,1.075153,5.0,72.249682,40.9,2.845789,,
32,1.078009,5.0,72.249682,40.9,3.036131,,
33,1.081056,5.0,72.249682,40.9,2.730508,,
34,1.083797,5.0,72.249682,40.9,2.521415,,
35,1.086328,5.0,72.249682,40.9,2.303144,,
36,1.088641,5.0,72.249682,40.9,2.743508,,
37,1.091394,5.0,72.249682,40.9,2.585446,,
38,1.093991,5.0,72.249682,40.9,3.097362,,
39,1.0971,5.0,72.249682,40.9,2.844459,,
40,1.099955,5.0,72.249682,40.9,2.624736,,
41,1.102684,5.0,72.249682,40.9,2.662927,,
42,1.105357,5.0,72.249682,40.9,2.723988,,
43,1.108092,5.0,72.249682,40.9,2.423525,,
44,1.110526,5.0,72.249682,40.9,2.575686,,
45,1.113111,5.0,72.249682,40.9,2.327584,,
46,1.115447,5.0,72.249682,40.9,2.332533,,
47,1.117788,5.0,72.249682,40.9,2.711228,,
48,1.120507,5.0,72.249682,40.9,2.377554,,
49,1.122893,5.0,72.249682,40.9,2.436795,,
50,1.125338,5.0,72.249682,40.9,2.456665,,
51,2.304164,5.0,72.249682,40.9,2.045941,,
52,2.306227,5.0,72.249682,40.9,1.774238,,
53,2.308013,5.0,72.249682,40.9,1.722658,,
54,2.309745,5.0,72.249682,40.9,1.627906,,
55,2.311382,5.0,72.249682,40.9,1.665927,,
56,2.313056,5.0,72.249682,40.9,1.710858,,
57,2.314774,5.0,72.249682,40.9,1.685827,,
58,2.316468,5.0,72.249682,40.9,1.607616,,
59,2.318084,5.0,72.249682,40.9,1.706908,,
60,2.319799,5.0,72.249603,40.9,1.752707,,
61,2.32165,5.0,72.249603,40.9,2.062901,,
62,2.323721,5.0,72.249603,40.9,1.724057,,
63,2.325453,5.0,72.249603,40.9,1.620476,,
64,2.327081,5.0,72.249603,40.9,1.638356,,
65,2.328728,5.0,72.249603,40.9,1.493865,,
66,2.33023,5.0,72.249603,40.9,1.694188,,
67,2.331932,5.0,72.249603,40.9,1.578496,,
68,2.333518,5.0,72.249603,40.9,1.561696,,
69,2.335088,5.0,72.249603,40.9,3.553126,,
70,2.338651,5.0,72.249603,40.9,1.922539,,
71,2.340683,5.0,72.249603,40.9,1.88129,,
72,2.342574,5.0,72.249603,40.9,1.799848,,
73,2.344382,5.0,72.249603,40.9,1.544646,,
74,2.345935,5.0,72.249603,40.9,1.607606,,
75,2.34755,5.0,72.249603,40.9,1.635967,,
76,2.349194,5.0,72.249603,40.9,1.732307,,
77,2.350935,5.0,72.249603,40.9,1.663347,,
78,2.352606,5.0,72.249603,40.9,1.632267,,
79,2.354246,5.0,72.249603,40.9,1.611406,,
80,2.355865,5.0,72.249603,40.9,1.568666,,
81,2.357523,5.0,72.249603,40.9,1.602476,,
82,2.359133,5.0,72.249603,40.9,1.672447,,
83,2.360814,5.0,72.249603,40.9,1.571045,,
84,2.362395,5.0,72.249603,40.9,1.806748,,
85,2.364212,5.0,72.249603,40.9,1.814978,,
86,2.366037,5.0,72.249603,40.9,1.779368,,
87,2.367825,5.0,72.249603,40.9,1.713907,,
88,2.369548,5.0,72.249603,40.9,1.614406,,
89,2.37117,5.0,72.249603,40.9,1.637906,,
90,2.372816,5.0,72.249603,40.9,1.851159,,
91,2.374763,5.0,72.249603,40.9,1.875399,,
92,2.376646,5.0,72.249603,40.9,1.569626,,
93,2.378225,5.0,72.249603,40.9,1.744968,,
94,2.379979,5.0,72.249603,40.9,1.788168,,
95,2.381777,5.0,72.249603,40.9,1.787108,,
96,2.383573,5.0,72.249603,40.9,1.92764,,
97,2.385509,5.0,72.249603,40.9,1.805148,,
98,2.387323,5.0,72.249603,40.9,2.092642,,
99,2.389425,5.0,72.249603,40.9,2.109951,,
100,2.391547,5.0,72.249603,40.9,2.197312,,
101,3.531778,5.0,72.249603,40.9,2.03984,,
102,3.533832,5.0,72.249603,40.9,1.648897,,
103,3.535492,5.0,72.249603,40.9,1.791738,,
104,3.537293,5.0,72.249603,40.9,1.632076,,
105,3.538934,5.0,72.249603,40.9,1.773628,,
106,3.540716,5.0,72.249603,40.9,1.644077,,
107,3.542369,5.0,72.249603,40.9,1.491785,,
108,3.543869,5.0,72.249603,40.9,1.764568,,
109,3.545643,5.0,72.249603,40.9,1.616617,,
110,3.547267,5.0,72.247889,40.9,1.693207,,
111,3.549061,5.0,72.247889,40.9,1.642327,,
112,3.550711,5.0,72.247889,40.9,1.646066,,
113,3.552366,5.0,72.247889,40.9,1.555726,,
114,3.553929,5.0,72.247889,40.9,1.574736,,
115,3.555512,5.0,72.247889,40.9,1.888499,,
116,3.557409,5.0,72.247889,40.9,1.574896,,
117,3.558992,5.0,72.247889,40.9,1.585446,,
118,3.560585,5.0,72.247889,40.9,1.590786,,
119,3.562183,5.0,72.247889,40.9,1.587986,,
120,3.563779,5.0,72.247889,40.9,1.655577,,
121,3.565524,5.0,72.247889,40.9,1.705507,,
122,3.567238,5.0,72.247889,40.9,1.673057,,
123,3.568918,5.0,72.247889,40.9,1.628087,,
124,3.570554,5.0,72.247889,40.9,1.613466,,
125,3.572176,5.0,72.247889,40.9,1.604976,,
126,3.573788,5.0,72.247889,40.9,1.700158,,
127,3.575496,5.0,72.247889,40.9,1.633986,,
128,3.577138,5.0,72.247889,40.9,1.597696,,
129,3.578744,5.0,72.247889,40.9,1.614686,,
