elapsed_sec,latency_ms,target_pressure_pct,actual_pressure_pct,vmtouch_residency_pct,cache_action_pre_query,cache_action_post_query
5e-06,7.92537,5.0,72.244441,40.9,,
1.01082,2.682997,5.0,72.244441,40.9,,
1.013522,2.145382,5.0,72.244441,40.9,,
1.015678,1.833459,5.0,72.244441,40.9,,
1.017519,2.067761,5.0,72.244441,40.9,,
1.019596,1.863359,5.0,72.244441,40.9,,
1.021467,1.863639,5.0,72.244441,40.9,,
1.023339,1.808658,5.0,72.244441,40.9,,
1.025156,2.225973,5.0,72.244441,40.9,,
1.02739,1.856819,5.0,72.244441,40.9,,
1.029255,1.898709,5.0,72.248541,40.9,,
1.031252,1.875999,5.0,72.248541,40.9,,
1.033137,1.97756,5.0,72.248541,40.9,,
1.035123,1.807809,5.0,72.248541,40.9,,
1.036938,2.02918,5.0,72.248541,40.9,,
1.038976,1.806489,5.0,72.248541,40.9,,
1.04079,2.03841,5.0,72.248541,40.9,,
1.04284,2.180142,5.0,72.248541,40.9,,
1.04503,2.00612,5.0,72.248541,40.9,,
1.047044,1.887819,5.0,72.248541,40.9,,
1.04894,1.94712,5.0,72.249115,40.9,,
1.050978,1.96023,5.0,72.249115,40.9,,
1.052946,2.050601,5.0,72.249115,40.9,,
1.055005,2.046311,5.0,72.249115,40.9,,
1.057059,2.593276,5.0,72.249115,40.9,,
1.059661,2.349024,5.0,72.249115,40.9,,
1.062017,2.735348,5.0,72.249115,40.9,,
1.064761,2.562026,5.0,72.249115,40.9,,
1.067331,2.859129,5.0,72.249115,40.9,,
1.0702,2.433515,5.0,72.249115,40.9,,
1.072642,2.403844,5.0,72.249682,40.9,,
1.075153,2.845789,5.0,72.249682,40.9,,
1.078009,3.036131,5.0,72.249682,40.9,,
1.081056,2.730508,5.0,72.249682,40.9,,
1.083797,2.521415,5.0,72.249682,40.9,,
1.086328,2.303144,5.0,72.249682,40.9,,
1.088641,2.743508,5.0,72.249682,40.9,,
1.091394,2.585446,5.0,72.249682,40.9,,
1.093991,3.097362,5.0,72.249682,40.9,,
1.0971,2.844459,5.0,72.249682,40.9,,
1.099955,2.624736,5.0,72.249682,40.9,,
1.102684,2.662927,5.0,72.249682,40.9,,
1.105357,2.723988,5.0,72.249682,40.9,,
1.108092,2.423525,5.0,72.249682,40.9,,
1.110526,2.575686,5.0,72.249682,40.9,,
1.113111,2.327584,5.0,72.249682,40.9,,
1.115447,2.332533,5.0,72.249682,40.9,,
1.117788,2.711228,5.0,72.249682,40.9,,
1.120507,2.377554,5.0,72.249682,40.9,,
1.122893,2.436795,5.0,72.249682,40.9,,
1.125338,2.456665,5.0,72.249682,40.9,,
2.304164,2.045941,5.0,72.249682,40.9,,
2.306227,1.774238,5.0,72.249682,40.9,,
2.308013,1.722658,5.0,72.249682,40.9,,
2.309745,1.627906,5.0,72.249682,40.9,,
2.311382,1.665927,5.0,72.249682,40.9,,
2.313056,1.710858,5.0,72.249682,40.9,,
2.314774,1.685827,5.0,72.249682,40.9,,
2.316468,1.607616,5.0,72.249682,40.9,,
2.318084,1.706908,5.0,72.249682,40.9,,
2.319799,1.752707,5.0,72.249603,40.9,,
2.32165,2.062901,5.0,72.249603,40.9,,
2.323721,1.724057,5.0,72.249603,40.9,,
2.325453,1.620476,5.0,72.249603,40.9,,
2.327081,1.638356,5.0,72.249603,40.9,,
2.328728,1.493865,5.0,72.249603,40.9,,
2.33023,1.694188,5.0,72.249603,40.9,,
