query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms,ef_search,controller_action,recent_window_p99_ms
1,0.0,0.0,0.0,12.7134,100,none,
2,0.0152,0.015,0.0,3.6519,100,none,12.6227
3,0.019,0.019,0.0,3.542,100,none,12.5321
4,0.0226,0.023,0.0,3.6615,100,none,12.4418
5,0.0264,0.026,0.0,3.418,90,ef_down:100->90,12.3513
6,0.0395,0.039,0.023,10.4128,90,none,12.5983
7,0.05,0.05,0.023,4.3283,90,none,12.5753
8,0.0544,0.054,0.023,4.3811,90,none,12.5523
9,0.0589,0.059,0.054,5.6958,90,none,12.5293
10,0.0648,0.065,0.054,4.324,90,none,12.5063
11,0.0692,0.069,0.054,3.4871,90,none,12.4833
12,0.0729,0.073,0.054,3.48,90,none,12.4603
13,0.0764,0.076,0.054,3.4133,90,none,12.4373
14,0.0799,0.08,0.054,3.7633,90,none,12.4143
15,0.0838,0.084,0.054,3.4195,90,none,12.3913
16,0.0873,0.087,0.054,3.7512,90,none,12.3683
17,0.0911,0.091,0.087,4.4574,90,none,12.3453
18,0.0957,0.096,0.087,4.4331,90,none,12.3223
19,0.1002,0.1,0.087,3.8156,90,none,12.2993
20,0.1041,0.104,0.087,3.3326,90,none,12.2763
21,0.1076,0.108,0.087,3.9747,90,none,12.2532
22,0.1117,0.112,0.087,3.8629,90,none,12.2302
23,0.1156,0.116,0.087,3.6624,90,none,12.2072
24,0.1194,0.119,0.087,3.4621,90,none,12.1842
25,0.1229,0.123,0.087,3.8874,90,none,12.1612
26,0.1269,0.127,0.123,4.734,90,none,12.1382
27,0.1318,0.132,0.123,3.5183,90,none,12.1152
28,0.1354,0.135,0.123,3.1808,90,none,12.0922
29,0.1386,0.139,0.123,3.5567,90,none,12.0692
30,0.1423,0.142,0.123,3.9264,80,ef_down:90->80,12.0462
31,0.1513,0.151,0.123,3.3495,80,none,12.0232
32,0.1547,0.155,0.123,3.8051,80,none,12.0002
33,0.1586,0.159,0.155,4.9654,80,none,11.9772
34,0.1637,0.164,0.155,4.5278,80,none,11.9542
35,0.1684,0.168,0.155,3.8134,80,none,11.9312
36,0.1723,0.172,0.155,3.2417,80,none,11.9082
37,0.1757,0.176,0.155,3.3118,80,none,11.8852
38,0.1791,0.179,0.155,3.4344,80,none,11.8622
39,0.1826,0.183,0.155,3.4892,80,none,11.8392
40,0.1862,0.186,0.155,3.2292,80,none,11.8161
41,0.1895,0.19,0.155,4.0005,80,none,11.7931
42,0.1937,0.194,0.19,4.2908,80,none,11.7701
43,0.1981,0.198,0.19,3.5184,80,none,11.7471
44,0.2017,0.202,0.19,4.0391,80,none,11.7241
45,0.2058,0.206,0.19,3.4406,80,none,11.7011
46,0.2094,0.209,0.19,3.5892,80,none,11.6781
47,0.213,0.213,0.19,3.2547,80,none,11.6551
48,0.2164,0.216,0.19,3.3134,80,none,11.6321
49,0.2198,0.22,0.19,3.675,80,none,11.6091
50,0.2236,0.224,0.22,4.2968,80,none,11.5861
51,0.2281,0.228,0.22,3.4305,80,none,8.1015
52,0.2316,0.232,0.22,3.3122,80,none,8.1015
53,0.235,0.235,0.22,3.6407,80,none,8.1015
54,0.2387,0.239,0.22,4.1821,80,none,8.1015
55,0.2431,0.243,0.22,3.9626,70,ef_down:80->70,8.1015
56,0.2527,0.253,0.22,3.7533,70,none,5.3379
57,0.2566,0.257,0.253,4.5878,70,none,5.3379
58,0.2613,0.261,0.253,4.0393,70,none,5.3379
59,0.2655,0.265,0.253,3.7945,70,none,4.852
60,0.2694,0.269,0.253,3.8179,70,none,4.852
61,0.2733,0.273,0.253,3.4397,70,none,4.852
62,0.2768,0.277,0.253,3.5314,70,none,4.852
63,0.2804,0.28,0.253,3.7854,70,none,4.852
64,0.2844,0.284,0.253,3.7671,70,none,4.852
65,0.2882,0.288,0.284,4.2511,70,none,4.852
66,0.2926,0.293,0.284,3.49,70,none,4.852
67,0.2962,0.296,0.284,3.6172,70,none,4.852
68,0.2999,0.3,0.284,3.3251,70,none,4.852
69,0.3033,0.303,0.284,3.3317,70,none,4.852
70,0.3067,0.307,0.284,3.1207,70,none,4.852
71,0.3099,0.31,0.284,3.3736,70,none,4.852
72,0.3134,0.313,0.284,3.6335,70,none,4.852
73,0.3171,0.317,0.284,4.0972,70,none,4.852
74,0.3213,0.321,0.317,4.7432,70,none,4.8565
75,0.3262,0.326,0.317,3.9408,70,none,4.8565
76,0.3302,0.33,0.317,3.2312,70,none,4.8565
77,0.3336,0.334,0.317,3.6712,70,none,4.8565
78,0.3374,0.337,0.317,3.4385,70,none,4.8565
79,0.3409,0.341,0.317,3.822,70,none,4.8565
80,0.3448,0.345,0.317,3.3464,60,ef_down:70->60,4.8565
81,0.3529,0.353,0.345,4.6237,60,none,4.8565
82,0.3577,0.358,0.345,4.1102,60,none,4.8565
83,0.3619,0.362,0.345,3.6947,60,none,4.6847
84,0.3657,0.366,0.345,3.6715,60,none,4.6847
85,0.3695,0.369,0.345,3.5417,60,none,4.6847
86,0.3731,0.373,0.345,3.8558,60,none,4.6847
87,0.3771,0.377,0.345,3.607,60,none,4.6847
88,0.3808,0.381,0.345,3.8855,60,none,4.6847
