query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms,ef_search,controller_action,recent_window_p99_ms
1,0.0,0.0,0.0,8.2504,100,none,
2,0.0085,0.01,0.0,3.8252,100,none,8.2061
3,0.0124,0.015,0.0,2.6764,100,none,8.1619
4,0.0151,0.018,0.0,2.2469,100,none,8.1176
5,0.0174,0.021,0.0,2.0741,90,ef_down:100->90,8.0734
6,0.0215,0.025,0.0,1.9599,90,none,8.0291
7,0.0235,0.028,0.0,1.7659,90,none,7.9849
8,0.0253,0.03,0.0,1.7599,90,none,7.9406
9,0.027,0.032,0.0,2.7003,90,none,7.8964
10,0.0298,0.035,0.03,1.9658,90,none,7.8521
11,0.0318,0.038,0.03,1.8415,90,none,7.8079
12,0.0337,0.04,0.03,1.7709,90,none,7.7636
13,0.0355,0.042,0.03,1.6721,90,none,7.7194
14,0.0372,0.044,0.03,1.6598,90,none,7.6751
15,0.0389,0.046,0.03,1.6973,90,none,7.6309
16,0.0406,0.048,0.03,1.6649,90,none,7.5866
17,0.0423,0.05,0.03,1.686,90,none,7.5424
18,0.044,0.052,0.03,1.9397,90,none,7.4981
19,0.046,0.055,0.03,2.2922,90,none,7.4538
20,0.0483,0.057,0.03,1.6342,90,none,7.4096
21,0.05,0.059,0.03,1.625,90,none,7.3653
22,0.0517,0.061,0.03,1.5716,90,none,7.3211
23,0.0533,0.063,0.03,1.5391,90,none,7.2768
24,0.0548,0.065,0.03,2.3804,90,none,7.2326
25,0.0573,0.068,0.03,1.8036,90,none,7.1883
26,0.0591,0.07,0.063,1.8548,90,none,7.1441
27,0.061,0.072,0.063,1.9449,90,none,7.0998
28,0.063,0.075,0.063,1.9612,90,none,7.0556
29,0.065,0.077,0.063,1.6842,90,none,7.0113
30,0.0667,0.079,0.063,1.6248,80,ef_down:90->80,6.9671
31,0.07,0.083,0.063,1.7892,80,none,6.9228
32,0.0718,0.085,0.063,1.4905,80,none,6.8786
33,0.0733,0.087,0.063,1.622,80,none,6.8343
34,0.075,0.089,0.063,1.4875,80,none,6.7901
35,0.0765,0.091,0.063,1.449,80,none,6.7458
36,0.078,0.093,0.063,1.5482,80,none,6.7016
37,0.0796,0.094,0.063,1.6039,80,none,6.6573
38,0.0812,0.096,0.063,1.541,80,none,6.6131
39,0.0828,0.098,0.063,1.8705,80,none,6.5688
40,0.0847,0.101,0.063,2.0265,80,none,6.5246
41,0.0868,0.103,0.096,1.7615,80,none,6.4803
42,0.0886,0.105,0.096,1.5938,80,none,6.4361
43,0.0902,0.107,0.096,1.6506,80,none,6.3918
44,0.0919,0.109,0.096,1.5715,80,none,6.3476
45,0.0935,0.111,0.096,1.5537,80,none,6.3033
46,0.0951,0.113,0.096,1.7061,80,none,6.2591
47,0.0969,0.115,0.096,1.5496,80,none,6.2148
48,0.0985,0.117,0.096,1.5492,80,none,6.1706
49,0.1001,0.119,0.096,1.7181,80,none,6.1263
50,0.1018,0.121,0.096,1.6548,80,none,6.0821
51,0.1036,0.123,0.096,1.573,80,none,3.274
52,0.1052,0.125,0.096,1.5117,80,none,2.6886
53,0.1067,0.127,0.096,1.5213,80,none,2.5436
54,0.1083,0.129,0.096,1.6254,80,none,2.5436
55,0.1099,0.131,0.096,1.8356,80,none,2.5436
56,0.1118,0.133,0.096,2.1009,80,none,2.5436
57,0.114,0.135,0.096,1.7831,80,none,2.5436
58,0.1158,0.138,0.131,1.6712,80,none,2.5436
59,0.1175,0.14,0.131,1.5948,80,none,2.3372
60,0.1192,0.141,0.131,1.6795,80,none,2.3372
61,0.1209,0.144,0.131,1.6588,80,none,2.3372
62,0.1226,0.146,0.131,1.5545,80,none,2.3372
